Response,Share of respondents
Get info/data about the federal government,37%
Get info/data about the state government,34%
Get info/data about the local government,32%
Learn about government-operated recreational activities,27%
Renew a driver's license or car registration,18%
Learn about or apply for government benefits,13%
Pay a fine such as a parking ticket or a toll,11%
Apply for or renew a hunting or fishing license,4%
Use 311 service to report online a problem to their local government,2%
Do at least one of the activities above,76%
