Month,House price index (2015=100)
Sep '20,122.34
Aug '20,121.23
Jul '20,118.84
Jun '20,119.1
May '20,116.77
Apr '20,117.52
Mar '20,121.05
Feb '20,118.34
Jan '20,118.24
Dec '19,118.76
Nov '19,116.53
Oct '19,116.94
Sep '19,117.59
Aug '19,116.38
Jul '19,117.28
Jun '19,116.49
May '19,114.79
Apr '19,116.51
Mar '19,116.29
Feb '19,116.13
Jan '19,116.63
Dec '18,117.62
Nov '18,118.11
Oct '18,118.78
Sep '18,117.43
Aug '18,117.87
Jul '18,118.32
Jun '18,118.81
May '18,118.41
Apr '18,118.54
Mar '18,118.39
Feb '18,119.0
Jan '18,119.04
Dec '18,118.53
Nov '17,118.56
Oct '17,119.13
Sep '17,118.95
Aug '17,119.07
Jul '17,119.07
Jun '17,118.8
May '17,118.74
Apr '17,118.89
Mar '17,119.1
Feb '17,118.66
Jan '17,117.91
Dec '16,117.32
Nov '16,117.08
Oct '16,116.61
Sep '16,116.1
Aug '16,115.85
Jul '16,116.02
Jun '16,115.85
May '16,115.67
Apr '16,114.46
Mar '16,116.36
Feb '16,114.26
Jan '16,113.53
Dec '15,111.59
Nov '15,110.65
Oct '15,108.89
Sep '15,107.73
Aug '15,106.38
Jul '15,105.3
Jun '15,103.8
May '15,102.85
Apr '15,101.89
Mar '15,101.58
Feb '15,101.17
Jan '15,100.0
