Year,Inflation rate compared to previous year
2025*,3.17%
2024*,3.17%
2023*,3.2%
2022*,3.13%
2021*,5.2%
2020*,7.56%
2019*,-0.71%
2018,-2.77%
2017,16.6%
2016,5.53%
2015,5.55%
2014,4.42%
2013,7.94%
2012,18.18%
2011,9.58%
2010,6.5%
2009,10.56%
2008,24.41%
2007,8.41%
2006,2.74%
2005,13.25%
2004,8.18%
2003,10.57%
2002,-1.26%
2001,7.87%
2000,25.52%
1999,3.52%
1998,12.47%
1997,31.06%
1996,26.42%
1995,19.36%
1994,14.71%
1993,9.71%
1992,5.33%
1991,9.01%
1990,6.99%
1989,11.67%
1988,4.49%
1987,7.11%
1986,1.67%
1985,3.82%
