Country,Mortgage to GDP rate
Namibia,24.57%
Cabo Verde,20.9%
South Africa,19.56%
Tunisia,9.9%
eSwatini,5.6%
Morocco,5.5%
Djibouti,4.3%
Seychelles,4.3%
Burundi,2.6%
Kenya,2.5%
Sudan,2.3%
Zimbabwe,1.71%
Ethiopia,1.6%
Zambia,0.98%
Malawi,0.84%
Senegal,0.58%
Tanzania,0.32%
South Sudan,0.3%
Nigeria,0.3%
Niger,0.26%
Sierra Leone,0.26%
"Congo, Dem. Rep.",0.22%
Cote d'Ivoire,0.15%
Ghana,0.14%
Liberia,0.08%
Mali,0.07%
Lesotho,0.03%
"Gambia, The",0.03%
Algeria,0.02%
Botswana,0.01%
"Egypt, Arab Rep.",0.01%
