Year,Temperature in Celsius
2019,5.13
2018,5.52
2017,5.97
2016,6.18
2015,5.95
2014,4.85
2013,4.83
2012,6.04
2011,5.11
2010,5.17
2009,4.78
2008,4.52
2007,5.37
2006,5.6
2005,5.43
2004,5.32
2003,5.22
2002,5.12
2001,5.41
2000,5.12
1999,5.31
1998,6.01
1997,4.82
1996,4.47
1995,4.98
1994,4.97
1993,4.35
1992,5.04
1991,5.28
1990,5.22
1989,4.27
1988,4.48
1987,5.18
1986,5.41
1985,4.19
1984,4.65
1983,4.82
1982,4.36
1981,5.09
1980,4.63
1979,3.92
1978,4.07
1977,4.73
1976,3.82
1975,4.32
1974,4.56
1973,4.86
1972,4.24
1971,4.32
1970,4.26
1969,4.34
1968,4.13
1967,4.27
1966,4.08
1965,4.38
1964,4.13
1963,4.36
1962,4.36
1961,4.39
1960,4.14
1959,4.48
1958,4.52
1957,4.79
1956,4.31
1955,4.12
1954,4.93
1953,4.98
1952,4.36
1951,3.91
1950,3.98
1949,4.36
1948,4.1
1947,4.42
1946,4.85
1945,4.33
1944,4.35
1943,4.19
1942,4.34
1941,5.13
1940,4.47
1939,4.78
1938,5.08
1937,4.26
1936,4.28
1935,4.51
1934,5.24
1933,4.76
1932,4.28
1931,5.24
1930,4.31
1929,3.77
1928,4.39
1927,4.66
1926,4.46
1925,4.67
1924,3.48
1923,4.37
1922,4.45
1921,5.35
1920,4.14
1919,4.32
1918,4.33
1917,3.12
1916,3.65
1915,4.36
1914,4.41
1913,4.22
1912,3.61
1911,4.49
1910,4.39
1909,4.19
1908,4.42
1907,4.27
1906,4.51
1905,4.14
1904,3.84
1903,3.75
1902,4.33
1901,4.32
1900,4.98
1899,3.93
1898,4.19
1897,4.28
1896,4.58
1895,3.38
