baseball team,Number of followers in thousands
New York Yankees,2493
LA Dodgers,2132
Boston Red Sox,1796
Chicago Cubs,1563
Toronto Blue Jays,1235
San Franciso Giants,1196
Houston Astros,1115
Atlanta Braves,1029
New York Mets,878
St Louis Cardinals,835
LA Angels,784
Kansas City Royals,773
Detroit Tigers,692
Philadelphia Phillies,690
Pittsburgh Pirates,620
Seattle Mariners,610
Washington Nationals,595
Texas Rangers,593
Cleveland Indians,546
Miami Marlins,472
Milwaukee Brewers,444
Cincinnati Reds,425
Baltimore Orioles,411
Colorado Rockies,410
San Diego Padres,405
Minnesota Twins,382
Oakland Athletics,377
Chicago White Sox,375
Arizona Diamondbacks,344
Tampa Bay Rays,301
