Industry,Real value added in billion chained (2012) U.S. dollars
"Finance, insurance, real estate, rental, and leasing",52.57
Manufacturing,49.22
Professional and business services,41.14
"Educational services, health care, and social assistance",36.44
Government and government enterprises,35.07
Retail trade,24.1
Wholesale trade,21.73
"Arts, entertainment, recreation, accommodation, and food services",17.79
Transportation and warehousing,14.29
Information,12.29
Construction,11.47
Other services (except government and government enterprises),7.85
"Agriculture, forestry, fishing, and hunting",1.92
Utilities,1.89
"Mining, quarrying, and oil and gas extraction",0.94
