Month,Index number of sales per week
Jun 20,82.5
May 20,21.2
Apr 20,30.6
Mar 20,74.3
Feb 20,104.0
Jan 20,92.3
Dec 19,103.9
Nov 19,96.8
Oct 19,101.2
Sep 19,88.4
Aug 19,84.9
Jul 19,95.4
Jun 19,94.9
May 19,94.6
Apr 19,100.9
Mar 19,93.5
Feb 19,84.6
Jan 19,96.7
Dec 18,96.0
Nov 18,100.9
Oct 18,99.1
Sep 18,122.8
Aug 18,119.4
Jul 18,117.1
Jun 18,127.3
May 18,122.5
Apr 18,114.7
Mar 18,116.1
Feb 18,111.0
Jan 18,120.2
Dec 17,115.2
Nov 17,111.3
Oct 17,126.9
Sep 17,101.8
Aug 17,121.7
Jul 17,118.7
Jun 17,109.7
May 17,118.6
Apr 17,105.8
Mar 17,117.4
Feb 17,116.5
Jan 17,103.3
Dec 16,101.0
Nov 16,105.1
Oct 16,99.5
Sep 16,94.1
Aug 16,94.8
July 16,100.4
June 16,87.1
May 16,92.7
April 16,105.7
Mar 16,101.9
Feb 16,111.0
Jan 16,110.6
