State,Number of liver transplants
Alabama,133
Arizona,332
Arkansas,43
California,969
Colorado,163
Connecticut,53
Delaware,6
District of Columbia,124
Florida,647
Georgia,289
Hawaii,13
Illinois,323
Indiana,156
Iowa,32
Kansas,80
Kentucky,67
Louisiana,240
Maryland,214
Massachusetts,278
Michigan,240
Minnesota,200
Mississippi,51
Missouri,196
Nebraska,100
New Jersey,56
New Mexico,0
New York,498
North Carolina,262
Ohio,486
Oklahoma,57
Oregon,76
Pennsylvania,627
South Carolina,83
South Dakota,12
Tennessee,252
Texas,874
Utah,106
Virginia,197
Washington,160
Wisconsin,159
