Month,"Number of people employed (in 1,000s)"
Oct 20,31183
Sep 20,31186
Aug 20,31308
Jul 20,31396
Jun 20,31416
May 20,31437
Apr 20,31477
Mar 20,31601
Feb 20,31687
Jan 20,31637
Dec 19,31637
Nov 19,31577
Oct 19,31493
Sep 19,31443
Aug 19,31365
Jul 19,31463
Jun 19,31448
May 19,31421
Apr 19,31443
Mar 19,31414
Feb 19,31438
Jan 19,31425
Dec 18,31307
Nov 18,31272
Oct 18,31247
Sep 18,31176
Aug 18,31173
Jul 18,31153
Jun 18,31159
May 18,31188
Apr 18,31165
Mar 18,31146
Feb 18,31064
Jan 18,31028
Dec 17,30970
Nov 17,31031
Oct 17,30917
Sep 17,30883
Aug 17,30931
Jul 17,30977
Jun 17,30904
May 17,30818
Apr 17,30753
Mar 17,30747
Feb 17,30681
Jan 17,30639
Dec 16,30645
Nov 16,30590
Oct 16,30577
Sep 16,30577
Aug 16,30587
Jul 16,30588
Jun 16,30540
May 16,30502
Apr 16,30422
Mar 16,30387
Feb 16,30376
Jan 16,30343
Dec 15,30340
Nov 15,30301
Oct 15,30261
Sep 15,30165
Aug 15,30064
Jul 15,30020
Jun 15,29967
May 15,29924
Apr 15,29963
Mar 15,29952
Feb 15,29938
Jan 15,29871
Dec 14,29820
Nov 14,29722
Oct 14,29715
Sep 14,29717
Aug 14,29677
Jul 14,29587
Jun 14,29599
May 14,29621
Apr 14,29527
Mar 14,29426
Feb 14,29384
Jan 14,29267
Dec 13,29215
Nov 13,29224
Oct 13,29152
Sep 13,29055
Aug 13,28989
Jul 13,28972
Jun 13,28909
May 13,28855
Apr 13,28867
Mar 13,28841
Feb 13,28831
Jan 13,28908
Dec 12,28925
Nov 12,28876
Oct 12,28786
Sep 12,28808
Aug 12,28819
Jul 12,28777
Jun 12,28718
May 12,28621
Apr 12,28572
Mar 12,28550
Feb 12,28492
Jan 12,28466
Dec 11,28461
Nov 11,28435
Oct 11,28438
Sep 11,28426
Aug 11,28467
Jul 11,28480
Jun 11,28558
May 11,28569
Apr 11,28541
Mar 11,28552
Feb 11,28554
Jan 11,28491
Dec 10,28444
Nov 10,28408
Oct 10,28455
Sep 10,28526
Aug 10,28484
Jul 10,28462
Jun 10,28367
May 10,28343
Apr 10,28254
Mar 10,28232
Feb 10,28251
Jan 10,28291
Dec 09,28331
Nov 09,28327
Oct 09,28321
Sep 09,28313
Aug 09,28316
Jul 09,28283
Jun 09,28360
May 09,28432
Apr 09,28559
Mar 09,28658
Feb 09,28728
Jan 09,28841
Dec 08,28820
Nov 08,28855
Oct 08,28838
Sep 08,28888
Aug 08,28923
Jul 08,29003
Jun 08,29028
May 08,29060
Apr 08,29016
Mar 08,29001
Feb 08,29000
Jan 08,28946
Dec 07,28917
Nov 07,28867
Oct 07,28823
Sep 07,28771
Aug 07,28736
Jul 07,28715
Jun 07,28696
May 07,28688
Apr 07,28603
Mar 07,28566
Feb 07,28542
Jan 07,28570
Dec 06,28577
Nov 06,28567
Oct 06,28557
Sep 06,28549
Aug 06,28605
Jul 06,28531
Jun 06,28488
May 06,28452
Apr 06,28467
Mar 06,28442
Feb 06,28385
Jan 06,28337
Dec 05,28281
Nov 05,28289
Oct 05,28323
Sep 05,28356
Aug 05,28330
Jul 05,28279
Jun 05,28225
May 05,28203
Apr 05,28185
Mar 05,28220
Feb 05,28232
Jan 05,28179
Dec 04,28129
Nov 04,28089
Oct 04,28013
Sep 04,27987
Aug 04,27943
Jul 04,27922
Jun 04,27924
May 04,27928
Apr 04,27918
Mar 04,27929
Feb 04,27915
Jan 04,27874
Dec 03,27774
Nov 03,27772
Oct 03,27756
Sep 03,27724
Aug 03,27697
Jul 03,27710
Jun 03,27711
May 03,27675
Apr 03,27626
Mar 03,27590
Feb 03,27558
Jan 03,27589
Dec 02,27618
Nov 02,27568
Oct 02,27539
Sep 02,27459
Aug 02,27479
Jul 02,27430
Jun 02,27457
May 02,27412
Apr 02,27382
Mar 02,27324
Feb 02,27311
Jan 02,27297
Dec 01,27325
Nov 01,27320
Oct 01,27277
Sep 01,27259
Aug 01,27269
Jul 01,27253
Jun 01,27274
May 01,27279
Apr 01,27250
Mar 01,27212
Feb 01,27195
Jan 01,27211
Dec 00,27114
Nov 00,27071
Oct 00,27084
Sep 00,27114
Aug 00,27114
Jul 00,27071
Jun 00,27013
May 00,26985
Apr 00,26938
Mar 00,26895
Feb 00,26843
Jan 00,26846
Dec 99,26858
Nov 99,26816
Oct 99,26757
Sep 99,26760
Aug 99,26713
Jul 99,26663
Jun 99,26636
May 99,26596
Apr 99,26590
Mar 99,26589
Feb 99,26579
Jan 99,26565
Dec 98,26524
Nov 98,26510
Oct 98,26450
Sep 98,26407
Aug 98,26392
Jul 98,26330
Jun 98,26270
May 98,26266
Apr 98,26265
Mar 98,26245
Feb 98,26226
Jan 98,26192
Dec 97,26192
Nov 97,26172
Oct 97,26154
Sep 97,26121
Aug 97,26062
