Year,Gross domestic product in billion international dollars
2021*,403.34
2020*,384.3
2019*,407.41
2018,395.87
2017,381.54
2016,365.98
2015,358.39
2014,347.85
2013,334.94
2012,325.79
2011,311.25
2010,301.92
2009,296.36
2008,299.29
2007,292.18
2006,276.27
2005,261.87
2004,247.46
2003,231.77
2002,225.5
2001,218.82
2000,209.77
1999,198.81
1998,192.12
1997,185.12
1996,172.85
1995,161.61
1994,151.98
1993,141.64
1992,134.53
1991,127.0
1990,119.17
1989,112.69
1988,107.32
1987,103.93
1986,99.68
1985,93.91
1984,86.25
