Year,Inflation rate compared to previous year
2025*,2.01%
2024*,2.01%
2023*,1.94%
2022*,1.91%
2021*,2.42%
2020*,-1.13%
2019,0.66%
2018,0.97%
2017,3.8%
2016,2.08%
2015,2.1%
2014,3.14%
2013,2.11%
2012,1.66%
2011,3.17%
2010,1.72%
2009,0.6%
2008,5.43%
2007,2.03%
2006,3.62%
2005,3.04%
2004,1.42%
2003,1.07%
2002,1.79%
2001,1.43%
2000,1.55%
1999,2.73%
1998,5.29%
1997,2.66%
1996,3.48%
1995,3.47%
1994,3.69%
1993,3.55%
1992,4.78%
1991,4.33%
1990,3.04%
1989,2.56%
1988,0.29%
1987,0.74%
1986,0.35%
1985,2.59%
