Year,GDP per capita in U.S. dollars
2025*,22825.73
2024*,21645.32
2023*,20387.92
2022*,19032.16
2021*,17644.53
2020*,15372.89
2019,16469.61
2018,16146.75
2017,14442.8
2016,12971.26
2015,12634.92
2014,14182.7
2013,13646.27
2012,12873.2
2011,14097.94
2010,13073.96
2009,13019.04
2008,15729.06
2007,13893.38
2006,11441.42
2005,11193.84
2004,10286.31
2003,8413.01
2002,6655.22
2001,5276.6
2000,4628.31
1999,4795.71
1998,4744.21
1997,4590.84
1996,4520.86
1995,4490.56
1994,4169.96
1993,3870.51
1992,3732.9
1991,3349.75
1990,3311.85
1989,2909.28
1988,2838.15
1987,2582.47
1986,2338.46
1985,2022.67
