Month,Number of persons tested
Mar 01,97
Mar 02,114
Mar 03,131
Mar 04,152
Mar 05,170
Mar 06,186
Mar 07,200
Mar 08,222
Mar 09,244
Mar 10,274
Mar 11,291
Mar 12,332
Mar 13,408
Mar 14,666
Mar 15,910
Mar 16,1147
Mar 17,1538
Mar 18,2144
Mar 19,2677
Mar 20,3205
Mar 21,4446
Mar 22,5127
Mar 23,6114
Mar 24,6806
Mar 25,9796
Mar 26,10613
Mar 27,11702
Mar 28,12748
Mar 29,13805
Mar 30,14307
Mar 31,14807
Apr 1,15810
Apr 2,16834
Apr 3,18198
Apr 4,19380
Apr 5,20680
Apr 6,21453
Apr 7,22575
Apr 8,24036
Apr 9,25458
Apr 10,26656
Apr 11,27796
Apr 12,28214
Apr 13,28776
Apr 14,29018
Apr 15,29896
Apr 16,31302
Apr 17,32837
Apr 18,34697
Apr 19,35881
Apr 20,36668
Apr 21,37972
Apr 22,39336
Apr 23,41041
Apr 24,43080
Apr 25,45743
Apr 26,47671
Apr 27,49181
Apr 28,51561
Apr 29,54811
Apr 30,57886
May 1,61120
May 2,63102
May 3,64245
May 4,65464
May 5,66150
May 6,68627
May 7,71069
May 8,73016
May 9,75571
May 10,76592
May 11,77147
May 12,79047
May 13,81246
May 14,83275
May 15,85431
May 16,87377
May 17,88405
May 18,89123
May 19,90968
May 20,92751
May 21,94621
May 22,96366
May 23,97846
May 24,99049
May 25,99770
May 26,101598
May 27,103553
May 28,105504
May 29,106931
May 30,108174
May 31,109071
Jun 1,109723
Jun 2,111404
Jun 3,112965
Jun 4,114451
Jun 5,115461
Jun 6,116535
Jun 7,117660
Jun 8,118322
Jun 9,120052
Jun 10,121783
Jun 11,123364
Jun 12,124662
Jun 13,126054
Jun 14,127450
Jun 15,128145
Jun 16,129836
Jun 17,131646
Jun 18,133557
Jun 19,134881
Jun 20,136567
Jun 21,137861
Jun 22,139024
Jun 23,140437
Jun 24,141713
Jun 25,142794
Jun 26,145086
Jun 29,148777
Jun 30,150837
Jul 1,152778
Jul 3,155599
Jul 6,158518
Jul 9,165610
Jul 13,169943
Jul 20,180928
Jul 27,191871
Aug 3,201997
Aug 10,213534
Aug 14,222531
Aug 24,238403
Aug 31,251717
Sep 7,265305
Oct 12,364012
Oct 20,397357
Nov 4,465634
Nov 12,521522
Nov 20,565354
