State,Number of deaths
Alabama,775
Alaska,110
Arizona,1670
Arkansas,444
California,5348
Colorado,995
Connecticut,1069
Delaware,401
District of Columbia,254
Florida,4698
Georgia,1404
Hawaii,213
Idaho,250
Illinois,2722
Indiana,1629
Iowa,287
Kansas,345
Kentucky,1315
Louisiana,1140
Maine,345
Maryland,2324
Massachusetts,2241
Michigan,2591
Minnesota,636
Mississippi,310
Missouri,1610
Montana,125
Nebraska,138
Nevada,688
New Hampshire,452
New Jersey,2900
New Mexico,537
New York,3697
North Carolina,2259
North Dakota,70
Ohio,3980
Oklahoma,716
Oregon,547
Pennsylvania,4415
Rhode Island,317
South Carolina,1125
South Dakota,57
Tennessee,1823
Texas,3005
Utah,624
Vermont,153
Virginia,1448
Washington,1164
West Virginia,856
Wisconsin,1079
Wyoming,66
