hospital,Number of beds
"New York-Presbyterian University Hospital of Columbia and Cornell (New York, NY)",2381
"Cleveland Clinic (Cleveland, OH)",1280
"Mayo Clinic (Rochester, MN)",1263
"Mount Sinai Hospital (New York, NY)",1175
"Massachusetts General Hospital (Boston, MA)",1016
"University of Michigan Hospitals and Health Centers (Ann Arbor, MI)",993
"John Hopkins Hospital (Baltimore, MD)",977
"Cedars-Sinai Medical Center (Los Angeles, CA)",885
"Northwestern Memorial Hospital (Chicago, IL)",871
"Penn Presbyterian Medical Center (Philadelphia, PA)",354
