Year,Gross domestic product in billion international dollars
2021*,490.7
2020*,457.32
2019,476.01
2018,457.96
2017,430.0
2016,411.86
2015,391.77
2014,375.44
2013,360.0
2012,334.28
2011,309.57
2010,284.85
2009,259.63
2008,254.99
2007,229.17
2006,205.66
2005,185.64
2004,169.39
2003,157.15
2002,148.12
2001,138.27
2000,134.48
1999,128.08
1998,124.4
1997,123.5
1996,114.02
1995,108.92
1994,99.32
1993,86.59
1992,80.37
1991,79.01
1990,74.76
1989,75.93
1988,84.39
1987,90.0
1986,81.52
1985,71.28
1984,67.68
