Response,Share of users
Job portals,92%
Company career page,87%
Internal employee referrals,56%
Own network,53%
"Fairs (e.g. university fairs, job & career fairs)",48%
"Social media for direct contact (""Active Sourcing"")",46%
"Print media (newspapers, specialist magazines)",45%
Social media for job postings,45%
Social media for employer branding,43%
Intranet,39%
Personnel consultants/service providers/temporary work,34%
CV databases (internal),30%
External employee referrals,30%
CV databases (external),21%
"Other, not listed",3%
We're not recruiting,2%
