Month,Number of recoveries
"Jan 5, 2021",1536129
"Jan 4, 2021",1520106
"Jan 3, 2021",1503900
"Jan 2, 2021",1489154
"Jan 1, 2021",1479988
"Dec 31, 2020",1463111
"Dec 30, 2020",1445690
"Dec 29, 2020",1425730
"Dec 28, 2020",1408686
"Dec 27, 2020",1394011
"Dec 26, 2020",1386213
"Dec 25, 2020",1377109
"Dec 24, 2020",1344785
"Dec 23, 2020",1322067
"Dec 22, 2020",1301573
"Dec 21, 2020",1281258
"Dec 20, 2020",1261626
"Dec 19, 2020",1249470
"Dec 18, 2020",1226086
"Dec 17, 2020",1203814
"Dec 16, 2020",1175901
"Dec 15, 2020",1141406
"Dec 14, 2020",1115617
"Dec 13, 2020",1093161
"Dec 12, 2020",1076891
"Dec 11, 2020",1052163
"Dec 10, 2020",1027994
"Dec 9, 2020",997895
"Dec 8, 2020",958629
"Dec 7, 2020",933132
"Dec 6, 2020",913494
"Dec 5, 2020",896308
"Dec 4, 2020",872385
"Dec 3, 2020",846809
"Dec 2, 2020",823335
"Dec 1, 2020",784595
"Nov 30, 2020",757507
"Nov 29, 2020",734503
"Nov 28, 2020",720861
"Nov 27, 2020",696647
"Nov 26, 2020",661180
"Nov 25, 2020",637149
"Nov 24, 2020",605330
"Nov 23, 2020",584493
"Nov 22, 2020",553098
"Nov 21, 2020",539524
"Nov 20, 2020",520022
"Nov 19, 2020",498987
"Nov 18, 2020",481967
"Nov 17, 2020",457798
"Nov 16, 2020",442364
"Nov 15, 2020",420810
"Nov 14, 2020",411434
"Nov 13, 2020",399238
"Nov 12, 2020",387758
"Nov 11, 2020",372113
"Nov 10, 2020",363023
"Nov 9, 2020",345289
"Nov 8, 2020",335074
"Nov 7, 2020",328891
"Nov 6, 2020",322925
"Nov 5, 2020",312339
"Nov 4, 2020",307378
"Nov 3, 2020",302275
"Nov 2, 2020",296017
"Nov 1, 2020",292380
"Oct 31, 2020",289426
"Oct 30, 2020",283567
"Oct 29, 2020",279282
"Oct 28, 2020",275404
"Oct 27, 2020",271988
"Oct 26, 2020",268626
"Oct 25, 2020",266203
"Oct 24, 2020",264117
"Oct 23, 2020",261808
"Oct 22, 2020",259456
"Oct 21, 2020",257374
"Oct 20, 2020",255005
"Oct 19, 2020",252959
"Oct 18, 2020",251461
"Oct 17, 2020",249127
"Oct 16, 2020",247872
"Oct 15, 2020",245964
"Oct 14, 2020",244065
"Oct 13, 2020",242028
"Oct 12, 2020",240600
"Oct 11, 2020",239709
"Oct 10, 2020",238525
"Oct 9, 2020",237549
"Oct 8, 2020",236363
"Oct 7, 2020",235303
"Oct 6, 2020",234099
"Oct 5, 2020",232681
"Oct 4, 2020",231914
"Oct 3, 2020",231217
"Oct 2, 2020",229970
"Oct 1, 2020",228844
"Sep 30, 2020",227704
"Sep 29, 2020",226506
"Sep 28, 2020",225190
"Sep 27, 2020",224417
"Sep 26, 2020",223693
"Sep 25, 2020",222716
"Sep 24, 2020",221762
"Sep 23, 2020",220665
"Sep 22, 2020",219670
"Sep 21, 2020",218703
"Sep 20, 2020",218351
"Sep 19, 2020",217716
"Sep 18, 2020",216807
"Sep 17, 2020",215954
"Sep 16, 2020",215265
"Seo 15, 2020",214645
"Sep 14, 2020",213950
"Sep 13, 2020",213634
"Sep 12, 2020",213191
"Sep 11, 2020",212432
"Sep 10, 2020",211885
"Sep 9, 2020",211272
"Sep 8, 2020",210801
"Sep 7, 2020",210238
"Sep 6, 2020",210015
"Sep 5, 2020",209610
"Sep 4, 2020",209027
"Sep 3, 2020",208490
"Sep 2, 2020",208201
"Sep 1, 2020",207944
"Aug 31 , 2020",207653
"Aug 30 , 2020",207536
