Largest companies in Gotland county,Turnover in thousand SEK
"Svenska Spel, AB",8784000
Rederi AB Gotland,2454204
PayEx Sverige AB,424413
Teg AB,412186
Brukets Livs AB,377854
"Gotlandshem, AB",361417
Järn AB Södertorg,243174
Arriba Byggnads AB,211688
BRS Networks AB,207524
Gotlandsägg AB,160052
Wisab Bygg AB,145863
"Visby Motorcentral, AB",144401
Bilcompaniet & c/o AB,136739
Visby Bilcity AB,133375
PAJO Livs i Visby AB,123516
Dan Kolmodin Bygg AB,123291
Abirra AB,123291
Roma Grus AB,107622
"Dennis Lundins Bil, AB",101435
Hansa Wood AB,97570
