State,Number of Pell Grant recipients
Florida,487305
California,362768
New York,269407
Texas,259099
Georgia,132573
Michigan,130544
Pennsylvania,126966
Ohio,113077
Illinois,108268
Virginia,101185
North Carolina,96912
Missouri,92077
Iowa,86368
Indiana,85829
Tennessee,80629
Utah,78834
Arizona,74994
Massachusetts,73353
New Jersey,68544
Alabama,66507
Minnesota,62523
Wisconsin,61842
Washington,59796
Kentucky,54389
Colorado,53880
West Virginia,52937
Louisiana,50004
Oklahoma,49794
Maryland,49148
Oregon,42135
South Carolina,39367
Arkansas,36388
Mississippi,35686
Connecticut,34847
Kansas,33434
Nevada,33134
Idaho,32287
New Hampshire,26711
Nebraska,17459
Maine,15788
Montana,14080
Rhode Island,12761
District of Columbia,12702
Hawaii,12565
South Dakota,12303
North Dakota,10126
Delaware,9307
Vermont,8245
New Mexico,6789
Alaska,6694
Wyoming,2542
