national park,Area in hectares
Cilento e Vallo di Diano,178172
Pollino,171132
Gran Sasso e Monti della Laga,141341
Stelvio,130734
Gargano,118144
Gennargentu e Golfo di Orosei,73935
Arcipelago Toscano*,73762
Sila,73695
Gran Paradiso,71043
Monti Sibillini,69722
Appennino Lucano,68996
Alta Murgia,68033
Aspromonte,64153
Majella,62838
"Abruzzo, Lazio e Molise",49680
"Foreste Casentinesi, Monte Falterona, Campigna",31038
Appennino Tosco-Emiliano,26148
Arcipelago de La Maddalena**,20146
Dolomiti Bellunesi,15030
Val Grande,11340
Vesuvio,7259
Circeo,5616
Asinara***,5170
Cinque terre,3860
