Life insurance company,Market capitalization in billion U.S. dollars
Ping An Insurance Group (China),187.2
AIA Group (Hong Kong),111.8
China Life Insurance (China),60.3
Prudential (United Kingdom),36.9
Metlife (United States),32.8
Japan Post Holdings (Japan),32.7
China Pacific Insurance (China),30.0
Aflac (United States),26.9
Manulife (Canada),24.5
Cathay Financial (Taiwan),17.7
Legal & General Group (United Kingdom),15.3
Dai-ichi Life Insurance (Japan),14.4
Aviva (United Kingdom),12.0
Swiss Life Holding (Switzerland),11.3
New China Life Insurance (China),10.8
