Year,Life expectancy in years
2020,82.18
2015,81.61
2010,80.6
2005,79.33
2000,78.29
1995,77.29
1990,76.28
1985,76.01
1980,75.3
1975,74.43
1970,73.91
1965,73.47
1960,73.48
1955,72.8
1950,70.76
1945,66.31
1940,66.44
1935,65.26
1930,63.22
1925,61.77
1920,56.2
1915,58.02
1910,57.03
1905,55.45
1900,53.32
1895,50.86
1890,50.29
1885,49.87
1880,50.7
1875,48.96
1870,49.01
1865,47.28
1860,50.42
1855,49.64
1850,47.08
1845,49.22
1840,44.46
1835,45.24
1830,46.85
1825,47.29
1820,46.94
1815,40.46
1810,37.3
1805,39.54
1800,41.68
1795,41.92
1790,38.47
1785,39.1
1780,41.74
1775,35.2
1770,40.61
1765,34.99
