Year,Penetration rate among iOS mobile device users
BlockArt Free,43.67%
Subway Surfers,6.67%
Car Racing Free (Street Racer),6.39%
Highway Rider,6.39%
Candy Crush Saga,6.26%
Solitaire,5.44%
Hay Day,4.76%
Temple Run,4.63%
Clash of Clans,3.95%
Zynga Poker - Texas Holdem,3.67%
Shoot the Suits Free,3.4%
Temple Run 2,3.4%
2048,3.27%
Crossy Road - Endless Arcade Hopper,3.13%
QuizUp,2.86%
Candy Crush Soda Saga,2.72%
8 Ball Pool,2.59%
Dream League Soccer,2.59%
Flow Free,2.45%
Top Eleven 2017 - Be a Soccer Manager,2.45%
