Response,Share of place of residence
For validation,43.96%
China,0.37%
Quezon city,11.08%
San Juan city,5.6%
Makati city,4.25%
Pasig city,3.86%
Manila,4.23%
Mandaluyong city,2.86%
"Cainta, Rizal",1.74%
Paranaque city,1.62%
Taguig city,3.11%
Caloocan city,1%
Marikina city,0.87%
Pasay city,0.87%
"Antipolo, Rizal",1.12%
Batangas,0.75%
Las Pinas city,1%
Muntinlupa city,0.87%
"Bacoor, Cavite",0.5%
Bulacan*,0.12%
"Santa Rosa city, Laguna",0.37%
"Taytay, Rizal",0.37%
Valenzuela,0.25%
"San Jose Del Monte city, Bulacan",0.25%
"San Ildefonso, Bulacan",0.25%
"Caba, La Union",0.25%
"Binan city, Laguna",0.37%
"Lucena city, Quezon",0.25%
"Marawi city, Lanao del Sur",0.25%
"Dasmarinas city, Cavite",0.25%
"Davao city, Davao del Sure",0.25%
"Floridablanca, Pampanga",0.12%
"Malolos city, Bulaca",0.12%
"Manabo, Abra",0.12%
"Lemery, Batangas",0.12%
"Libmanan, Camarines Sur",0.12%
"Limay, Bataan",0.12%
"Lipa city, Batangas",0.12%
"General Trias city, Cavite",0.12%
"Guiguinto, Bulacan",0.12%
"Guimbal, Iloilo",0.12%
"Iloilo city, Iloilo",0.12%
"Imus city, Cavite",0.12%
Bulacan,0.12%
"Bacolod city, Negros Oriental",0.12%
"Baguio city, Benguet",0.25%
"Bais city, Negros oriental",0.12%
"Baliuag, Bulacan",0.12%
"Cabanatuan city, Nueva Ecija",0.12%
"Cabuyao ciy, Laguna",0.25%
"Calamba city, Laguna",0.12%
Cotabato city,0.12%
"Catarman, Northern Samar",0.12%
"Cebu city, Cebu",0.12%
"San Isidro, Nueva Ecija",0.12%
"San Mateo, Rizal",0.12%
"Tanuan city, Batangas",0.12%
"Tanza, Cavite",0.12%
"Tarala city, Tarlac",0.12%
"Tayasan, Negros Oriental",0.12%
"Zamboanga city, Zamboanga del sur",0.12%
"Tuguegarao city, Cagayan",0.12%
"Sariaya, Quezon",0.12%
"Silang, Cavite",0.12%
"Naic, Cavite",0.25%
"Orani, Bataan",0.12%
"Pantukan, Compostela Valley",0.12%
"Masiu, Lanao del Sur",0.12%
"Meycauyan city, Bulacan",0.12%
Pateros,0.12%
"Porac, Pampanga",0.12%
"Puerto Princesa city, Palawan",0.12%
"Rosario, Cavite",0.12%
"Roxas city, Capiz",0.12%
"San Fernando city, Pampanga",0.12%
"Lumban, Laguna",0.12%
"San Pedro city, Laguna",0.12%
"Rodriguez, Rizal",0.12%
"Cagayan De Oro city, Misamis Oriental",0.12%
"Barotac Nuevo, Iloilo",0.12%
"Binangonan, Rizal",0.12%
Cavite,0.12%
"Gattaran, Cagayan",0.12%
"Limbayong, Sultan Kudarat",0.12%
"Tuao, Cagayan",0.12%
