Organization,Number of inhabitants
The Evangelical Lutheran Church of Iceland,231112
The Roman Catholic Church,14632
The Independent Congregation of Reykjavík,10003
The Independent Congregation of Hafnarfjörður,7216
Pagan Worship,4764
The Icelandic Ethical Humanist Association,3507
The Independent Congregation,3241
The Pentecostal Church of Iceland,2099
Zuism,1213
The Icelandic Buddhist Society,1115
The Russian Orthodox Church,742
The Seventh Day Adventist Church,628
The Icelandic Muslim Association,623
Jehova Witnesses,608
"The Christian Way, a Church for You",498
