Country,Number of cases
Total,2929778
South Africa,1149591
Morocco,447081
Tunisia,149881
Egypt,145590
Ethiopia,126786
Libya,102880
Algeria,101120
Kenya,97398
Nigeria,94369
Ghana,55168
Uganda,36702
Cameroon,26848
Namibia,26319
Zambia,23495
Sudan,23316
Ivory Coast,22963
Senegal,20156
Mozambique,19667
Democratic Republic of the Congo,18487
Angola,17864
Zimbabwe,17804
Madagascar,17767
Botswana,15440
Mauritania,15111
Guinea,13845
Cabo Verde,12052
Eswatini,10539
Gabon,9641
Réunion,9173
Rwanda,9058
Burkina Faso,7563
Mali,7395
Malawi,7337
Congo,7127
Mayotte,6045
Djibouti,5855
Equatorial Guinea,5286
Central African Republic,4969
Somalia,4726
Lesotho,4137
Gambia,3812
Togo,3807
Niger,3634
South Sudan,3589
Benin,3304
Sierra Leone,2739
Guinea-Bissau,2455
Chad,2328
Liberia,1779
Eritrea,1445
Sao Tome and Principe,1025
Comros,995
Burundi,884
Mauritius,539
Tanzania,509
Seychelles,373
Western Sahara,10
