Donors,Amount donated in U.S. dollars
Wilks Family,15000000
Robert Mercer,12500000
Hank Greenberg,10010000
Toby Neugebauer,10001000
George Soros,8025000
Richard and Elizabeth Uihlein,6550000
Norman Braman,6100000
Kelcy Warren,6000000
Paul Singer,5608213
Tom Steyer,5041744
Haim and Cheryl Saban,5000002
Diane Hendricks,5000000
Robert McNair,4500000
Steve and Alexandra Cohen,4000000
Jerrold Perenchio,3972127
Mike Fernandez,3370520
Ken Griffin,3150000
Ronald Cameron,3055000
Larry Ellison,3000000
Donald Sussman,3000000
