Year,Number of persons tested
27 Jan,20
28 Jan,8
29 Jan,5
30 Jan,1
31 Jan,3
1 Feb,1
2 Feb,5
3 Feb,5
4 Feb,5
5 Feb,0
6 Feb,3
7 Feb,6
8 Feb,0
9 Feb,2
10 Feb,8
11 Feb,2
12 Feb,1
13 Feb,1
14 Feb,0
15 Feb,1
16 Feb,1
17 Feb,2
18 Feb,0
19 Feb,2
20 Feb,0
21 Feb,0
22 Feb,1
23 Feb,3
24 Feb,12
25 Feb,14
26 Feb,23
27 Feb,35
28 Feb,23
29 Feb,7
1 Mar,11
2 Mar,51
3 Mar,78
4 Mar,67
5 Mar,76
6 Mar,111
7 Mar,193
8 Mar,141
9 Mar,265
10 Mar,165
11 Mar,458
12 Mar,537
13 Mar,845
14 Mar,986
15 Mar,1028
16 Mar,1319
17 Mar,1294
18 Mar,1756
19 Mar,2259
20 Mar,2121
21 Mar,1882
22 Mar,1801
23 Mar,2291
24 Mar,3062
25 Mar,4107
26 Mar,4633
27 Mar,5359
28 Mar,4224
29 Mar,2848
30 Mar,5159
31 Mar,6661
1 Apr,6102
2 Apr,6673
3 Apr,7398
4 Apr,5837
5 Apr,4812
6 Apr,6435
7 Apr,8173
8 Apr,8469
9 Apr,8180
10 Apr,5702
11 Apr,4891
12 Apr,3250
13 Apr,3215
14 Apr,6173
15 Apr,8476
16 Apr,8381
17 Apr,8288
18 Apr,5605
19 Apr,4027
20 Apr,6567
21 Apr,8341
22 Apr,8818
23 Apr,7901
24 Apr,7129
25 Apr,4446
26 Apr,3381
27 Arp,7754
28 Apr,8741
29 Apr,7322
30 Apr,7396
May 1,4413
May 2,3880
May 3,3881
May 4,7627
May 5,9447
May 6,8083
May 7,7582
May 8,4557
May 9,3782
May 10,4051
May 11,7805
May 12,8709
May 13,7687
May 14,6887
May 15,6703
May 16,4258
May 17,3494
May 18,7398
May 19,8325
May 20,7508
May 21,7287
May 22,7729
May 23,5046
May 24,3610
May 25,7420
May 26,7230
May 27,6872
May 28,6011
May 29,6098
May 30,3547
May 31,2141
Jun 1,5721
Jun 2,6478
Jun 3,5313
Jun 4,5011
Jun 5,4173
Jun 6,2150
Jun 7,2127
Jun 8,4684
Jun 9,4552
Jun 10,4069
Jun 11,3738
Jun 12,3730
Jun 13,1664
Jun 14,1121
Jun 15,3673
Jun 16,4023
Jun 17,4036
Jun 18,4386
Jun 19,3555
Jun 20,1677
Jun 21,1313
Jun 22,3910
Jun 23,4567
Jun 24,4287
Jun 25,4047
Jun 26,4533
Jun 27,2554
Jun 28,2423
Jun 29,4485
Jun 30,4412
Jul 1,4593
Jul 2,4665
Jul 3,5109
Jul 4,1687
Jul 9,4682
Jul 10,5333
Jul 11,2321
Jul 12,1787
Jul 13,4424
Jul 14,4802
Jul 15,4694
Jul 16,4730
Jul 17,4727
Jul 18,2334
Jul 19,1830
Jul 20,5785
Jul 21,6089
Jul 22,6609
Jul 23,5557
Jul 24,6238
Jul 25,3337
Jul 26,1772
Jul 27,6516
Jul 28,7817
Jul 29,7300
Jul 30,7528
Jul 31,8137
Aug 1,4686
Aug 2,2645
Aug 3,7672
Aug 4,8332
Aug 5,6870
Aug 6,7298
Aug 7,9136
Aug 8,5456
Aug 9,2856
Aug 10,6305
Aug 11,8290
Aug 12,7741
Aug 13,7170
Aug 14,7762
Aug 15,4776
Aug 16,2872
Aug 17,7174
Aug 18,7578
Aug 19,7516
Aug 20,8137
Aug 21,9658
Aug 22,5012
Aug 23,2397
Aug 28,10764
Aug 29,6566
Aug 30,3944
Aug 31,9341
Sep 1,11099
Sep 2,11708
Sep 3,11041
Sep 4,13593
Sep 5,7466
Sep 10,16297
Sep 15,20300
Sep 20,10179
Sep 25,23112
Sep 30,21077
Oct 1,23897
Oct 2,23629
Oct 3,15201
Oct 4,7752
Oct 5,17714
Oct 6,22984
Oct 7,23962
Oct 8,25052
Oct 9,27724
Oct 10,18069
Oct 11,11502
Oct 12,22029
Oct 13,31563
Oct 14,34786
Oct 15,34776
Oct 16,38719
Oct 17,29276
Oct 18,17239
Oct 19,31115
Oct 20,40554
Oct 21,45182
Oct 22,46391
Oct 23,45229
Oct 24,39190
Oct 25,21563
Oct 26,35401
Oct 27,47469
Oct 28,40074
Oct 29,42529
Oct 30,46796
Oct 31,36287
Nov 1,20638
Nov 2,32710
Nov 3,43310
Nov 4,45470
Nov 5,43210
Nov 6,40312
Nov 7,26223
Nov 8,13726
Nov 9,30459
Nov 10,37169
Nov 11,32932
Nov 12,31062
Nov 13,31217
Nov 14,16190
Nov 15,9014
Nov 16,26000
Nov 17,17453
Nov 18,22275
