Month,Number of new cases
"Dec 17, 2020",1
"Dec 16, 2020",412
"Dec 15, 2020",3471
"Dec 14, 2020",3820
"Dec 13, 2020",3145
"Dec 12, 2020",3077
"Dec 11, 2020",3256
"Dec 10, 2020",3264
"Dec 9, 2020",3147
"Dec 8, 2020",3109
"Dec 7, 2020",2742
"Dec 6, 2020",1973
"Dec 5, 2020",1719
"Dec 4, 2020",2022
"Dec 3, 2020",1915
"Dec 2, 2020",1876
"Dec 1, 2020",1713
"Nov 30, 2020",1534
"Nov 29, 2020",1177
"Nov 28, 2020",1160
"Nov 27, 2020",1314
"Nov 26, 2020",1266
"Nov 25, 2020",1308
"Nov 24, 2020",1331
"Nov 23, 2020",1184
"Nov 22, 2020",1013
"Nov 21, 2020",1005
"Nov 20, 2020",1247
"Nov 19, 2020",1231
"Nov 18, 2020",1339
"Nov 17, 2020",1333
"Nov 16, 2020",1258
"Nov 15, 2020",1005
"Nov 14, 2020",1058
"Nov 13, 2020",1154
"Nov 12, 2020",1065
"Nov 11, 2020",1104
"Nov 10, 2020",1075
"Nov 9, 2020",1052
"Nov 8, 2020",758
"Nov 7, 2020",845
"Nov 6, 2020",961
"Nov 5, 2020",1033
"Nov 4, 2020",1244
"Nov 3, 2020",1261
"Nov 2, 2020",1272
"Nov 1, 2020",960
"Oct 31, 2020",982
"Oct 30, 2020",1077
"Oct 29, 2020",1016
"Oct 28, 2020",1212
"Oct 27, 2020",1238
"Oct 26, 2020",1014
"Oct 25, 2020",926
"Oct 24, 2020",823
"Oct 23, 2020",864
"Oct 22, 2020",879
"Oct 21, 2020",862
"Oct 20, 2020",790
"Oct 19, 2020",702
"Oct 18, 2020",459
"Oct 17, 2020",433
"Oct 16, 2020",478
"Oct 15, 2020",455
"Oct 14, 2020",480
"Oct 13, 2020",434
"Oct 12, 2020",462
"Oct 11, 2020",255
"Oct 10, 2020",286
"Oct 9, 2020",413
"Oct 8, 2020",420
"Oct 7, 2020",452
"Oct 6, 2020",431
"Oct 5, 2020",433
"Oct 4, 2020",313
"Oct 3, 2020",339
"Oct 2, 2020",368
"Oct 1, 2020",433
"Sep 30, 2020",438
"Sep 29, 2020",451
"Sep 28, 2020",484
"Sep 27, 2020",357
"Sep 26, 2020",394
"Sep 25, 2020",488
"Sep 24, 2020",607
"Sep 23, 3030",652
"Sep 22, 2020",591
"Sep 21, 2020",536
"Sep 20, 2020",411
"Sep 19, 2020",421
"Sep 18, 2020",477
"Sep 17, 2020",516
"Sep 16, 2020",559
"Sep 15, 2020",439
"Sep 14, 2020",382
"Sep 13, 2020",296
"Sep 12, 2020",302
"Sep 11, 2020",348
"Sep 10, 2020",371
"Sep 9, 2020",293
"Sep 8, 2020",329
"Sep 7, 2020",297
"Sep 6, 2020",224
"Sep 5, 2020",198
"Sep 4, 2020",205
"Sep 3, 2020",194
"Sep 2, 2020",159
"Sep 1, 2020",201
"Aug 31, 2020",121
"Aug 30, 2020",104
"Aug 29, 2020",89
"Aug 28, 2020",109
"Aug 27, 2020",71
"Aug 26, 2020",80
"Aug 25, 2020",81
"Aug 24, 2020",75
"Aug 23, 2020",75
"Aug 22, 2020",89
"Aug 21, 2020",87
"Aug 20, 2020",87
"Aug 19, 2020",87
"Aug 18, 2020",114
"Aug 17, 2020",96
"Aug 16, 2020",90
"Aug 15, 2020",127
"Aug 14, 2020",112
"Aug 13, 2020",116
"Aug 12, 2020",161
"Aug 11, 2020",136
"Aug 10, 2020",155
"Aug 9, 2020",130
"Aug 8, 2020",90
"Aug 7, 2020",143
"Aug 6, 2020",174
"Aug 5, 2020",118
"Aug 4, 2020",122
"Aug 3, 2020",117
"Aug 2, 2020",78
"Aug 1, 2020",64
"Jul 31, 2020",58
"Jul 30, 2020",84
"Jul 29, 2020",65
"Jul 28, 2020",78
"Jul 27, 2020",64
"Jul 26, 2020",24
"Jul 25, 2020",27
"Jul 24, 2020",37
"Jul 23, 2020",54
"Jul 22, 2020",35
"Jul 21, 2020",37
"Jul 20, 2020",32
"Jul 19, 2020",28
"Jul 18, 2020",43
"Jul 17, 2020",32
"Jul 16, 2020",52
"Jul 15, 2020",42
"Jul 14, 2020",34
"Jul 13, 2020",33
"Jul 12, 2020",22
"Jul 11, 2020",24
"Jul 10, 2020",34
"Jul 09, 2020",41
"Jul 08, 2020",26
"Jul 07, 2020",13
"Jul 06, 2020",9
"Jul 05, 2020",11
"Jul 04, 2020",13
"Jul 03, 2020",19
"Jul 02, 2020",15
"Jul 01, 2020",12
"Jun 30, 2020",24
"Jun 29, 2020",30
"Jun 28, 2020",11
"Jun 27, 2020",19
"Jun 26, 2020",23
"Jun 25, 2020",32
"Jun 24, 2020",45
"Jun 23, 2020",19
"Jun 22, 2020",46
"Jun 21, 2020",33
"Jun 20, 2020",38
"Jun 19, 2020",44
"Jun 18, 2020",46
"Jun 17, 2020",76
"Jun 16, 2020",46
"Jun 15, 2020",40
"Jun 14, 2020",22
"Jun 13, 2020",27
"Jun 12, 2020",60
"Jun 11, 2020",48
"Jun 10, 2020",40
"Jun 09, 2020",28
"Jun 08, 2020",46
"Jun 07, 2020",14
"Jun 06, 2020",15
"Jun 05, 2020",35
"Jun 04, 2020",42
"Jun 03, 2020",54
"Jun 02, 2020",56
"Jun 01, 2020",36
"May 31, 2020",22
"May 30, 2020",33
"May 29, 2020",46
"May 28, 2020",39
"May 27, 2020",52
"May 26, 2020",63
"May 25, 2020",52
"May 24, 2020",36
"May 23, 2020",36
"May 22, 2020",73
"May 21, 2020",31
"May 20, 2020",72
"May 19, 2020",65
"May 18, 2020",81
"May 17, 2020",50
"May 16, 2020",35
"May 15, 2020",91
"May 14, 2020",64
"May 13, 2020",71
"May 12, 2020",58
"May 11, 2020",79
"May 10, 2020",60
"May 09, 2020",65
"May 08, 2020",69
"May 07, 2020",124
"May 06, 2020",107
"May 05, 2020",123
"May 04, 2020",123
"May 03, 2020",78
"May 02, 2020",117
"May 01, 2020",153
"Apr 30, 2020",150
"Apr 29, 2020",140
"Apr 28, 2020",136
"Apr 27, 2020",219
"Apr 26, 2020",122
"Apr 25, 2020",136
"Apr 24, 2020",165
"Apr 23, 2020",232
"Apr 22, 2020",229
"Apr 21, 2020",202
"Apr 20, 2020",215
"Apr 19, 2020",114
"Apr 18, 2020",106
"Apr 17, 2020",168
"Apr 16, 2020",178
"Apr 15, 2020",199
"Apr 14, 2020",258
"Apr 13, 2020",156
"Apr 12, 2020",157
"Apr 11, 2020",140
"Apr 10, 2020",142
"Apr 09, 2020",140
"Apr 08, 2020",301
"Apr 07, 2020",347
"Apr 06, 2020",424
"Apr 05, 2020",158
"Apr 04, 2020",312
"Apr 03, 2020",473
"Apr 02, 2020",382
"Apr 01, 2020",282
"Mar 31, 2020",255
"Mar 30, 2020",313
"Mar 29, 2020",128
"Mar 28, 2020",200
"Mar 27, 2020",217
"Mar 26, 2020",171
"Mar 25, 2020",151
"Mar 24, 2020",139
"Mar 23, 2020",132
"Mar 22, 2020",62
"Mar 21, 2020",48
"Mar 20, 2020",103
"Mar 19, 2020",107
"Mar 18, 2020",83
"Mar 17, 2020",76
"Mar 16, 2020",74
"Mar 15, 2020",45
"Mar 14, 2020",37
"Mar 13, 2020",33
"Mar 12, 2020",44
"Mar 11, 2020",207
"Mar 10, 2020",256
"Mar 09, 2020",210
"Mar 08, 2020",48
"Mar 07, 2020",9
"Mar 06, 2020",2
"Mar 05, 2020",10
"Mar 04, 2020",3
Jan 27 to Mar 3,13
