Food Category,Value in grams
Non-alcoholic beverages,114
Legumes,110
Dry and fresh pasta,110
Fresh fruit,110
Frozen products,105
Breakfast products,102
Sauces and gravies,102
Fresh bread,101
Alcoholic beverages,101
Milk and yoghurt,100
Sweets,100
Non-fresh fruits and vegetables,96
Ready meals and pre-cooked food,94
Fresh vegetables and salads,94
Rice and other cereals,92
Fresh meat and poultry,86
"Onions, garlic and tubers",83
Fresh fish,83
"Fats, butter, margarine and oil",82
Eggs,77
Cold cuts,77
Cheese,68
