Industry,Real value added in million chained (2012) U.S. dollars
"Finance, insurance, real estate, rental, and leasing",78.58
Government and government enterprises,74.42
Professional and business services,57.8
"Educational services, health care, and social assistance",34.58
Manufacturing,23.06
Retail trade,19.77
Information,18.82
Wholesale trade,16.27
Construction,14.24
"Arts, entertainment, recreation, accommodation, and food services",13.35
Other services (except government and government enterprises),8.05
Transportation and warehousing,7.64
Utilities,6.6
"Agriculture, forestry, fishing, and hunting",1.37
"Mining, quarrying, and oil and gas extraction",0.39
