State,Cost in U.S. dollars
Alaska,28617.34
Wisconsin,23746.69
New York,22059.22
New Jersey,21294.82
Florida,20805.89
Massachusetts,19879.6
Connecticut,19692.76
Illinois,19631.75
Texas,19551.97
Georgia,19328.71
California,19184.14
Pennsylvania,18753.63
Wyoming,18476.31
Nevada,18266.84
Virginia,18261.83
Oklahoma,18121.42
Arizona,18023.04
Oregon,17948.33
Colorado,17713.57
Washington,17680.54
North Dakota,17647.14
Delaware,17617.02
Vermont,17428.48
Tennessee,17157.99
Indiana,16951.98
North Carolina,16839.97
New Hampshire,16837.87
South Carolina,16707.3
Maryland,16425.8
Kansas,16269.51
South Dakota,15994.09
Maine,15906.99
Minnesota,15646.02
West Virginia,15553.63
Missouri,15513.47
Kentucky,15150.94
Iowa,15135.67
Michigan,15107.17
Mississippi,15107.17
Idaho,15102.93
New Mexico,14921.5
Hawaii,14445.19
Utah,14252.8
Ohio,14212.56
Rhode Island,14088.87
Arkansas,13970.83
Louisiana,13776.54
Alabama,13589.75
Montana,13344.77
Nebraska,13143.4
