Month,Index number of sales per week
Nov 20,128.6
Oct 20,82.7
Sep 20,125.8
Aug 20,97.0
Jul 20,120.3
Jun 20,90.4
May 20,47.3
Apr 20,33.0
Mar 20,84.2
Feb 20,145.4
Jan 20,111.8
Dec 19,105.4
Nov 19,115.0
Oct 19,140.4
Sep 19,103.2
Aug 19,107.6
Jul 19,94.6
Jun 19,152.4
May 19,104.1
Apr 19,89.5
Mar 19,152.1
Feb 19,135.9
Jan 19,105.2
Dec 18,118.3
Nov 18,106.5
Oct 18,74.8
Sep 18,96.6
Aug 18,101.4
Jul 18,111.0
Jun 18,95.1
May 18,93.9
Apr 18,99.9
Mar 18,107.7
Feb 18,90.8
Jan 18,99.5
Dec 17,103.1
Nov 17,94.0
Oct 17,107.2
Sep 17,103.3
Aug 17,99.3
Jul 17,107.4
Jun 17,83.2
May 17,103.7
Apr 17,97.7
Mar 17,73.0
Feb 17,78.6
Jan 17,89.6
Dec 16,87.3
Nov 16,88.9
Oct 16,87.6
Sept 16,89.7
Aug 16,94.8
Jul 16,77.2
Jun 16,90.3
May 16,75.1
Apr 16,88.9
Mar 16,87.2
Feb 16,90.4
Jan 16,91.1
