Response,Share of responding businesses
Attracting customers,81%
Increasing revenue,56%
Tax laws and rules,53%
Uncertainty over economic conditions,46%
Maintaining profitability,38%
Retaining/recruiting skilled employees,32%
Developing new products/innovation,29%
Securing financing for expansion,22%
Selling to foreign markets,21%
"Other government regulations (e.g., compliance, technical regulation, patents, reporting)",19%
Securing financing for business as usual,14%
Finding/working with suppliers,14%
