Response,Percentage of female-headed households
"Brownsville-Harlingen, TX",22.08%
"McAllen-Edinburg-Mission, TX",21.65%
"Laredo, TX",20.31%
"Florence, SC",19.77%
"Alexandria, LA",19.59%
"El Paso, TX",19.26%
"El Centro, CA",19.12%
"Albany, GA",19.1%
"Merced, CA",18.97%
"Lake Charles, LA",18.94%
"Houma-Thibodaux, LA",18.75%
"Vineland-Bridgeton, NJ",18.46%
"Jackson, MS",18.37%
"Shreveport-Bossier City, LA",18.23%
"Pine Bluff, AR",18.21%
"Montgomery, AL",18.11%
"Farmington, NM",18.08%
"Rocky Mount, NC",18.07%
"Memphis, TN-MS-AR",17.82%
"Texarkana, TX-AR",17.81%
"Sumter, SC",17.61%
"Monroe, LA",17.55%
"Fresno, CA",17.38%
"Macon-Bibb County, GA",17.25%
"Augusta-Richmond County, GA-SC",17.01%
"Visalia, CA",17%
"Corpus Christi, TX",16.79%
"Hanford-Corcoran, CA",16.57%
"Hammond, LA",16.57%
"Jonesboro, AR",16.3%
"Flint, MI",16.28%
"Yakima, WA",16.26%
"Columbus, GA-AL",16.26%
"Madera, CA",16.24%
"Bakersfield, CA",16.1%
"Springfield, OH",16.02%
"Valdosta, GA",15.94%
"Gulfport-Biloxi, MS",15.82%
"Las Cruces, NM",15.79%
"Odessa, TX",15.77%
"Tallahassee, FL",15.73%
"Goldsboro, NC",15.7%
"Hinesville, GA",15.62%
"Killeen-Temple, TX",15.49%
"Baton Rouge, LA",15.48%
"Greenville, NC",15.48%
"Yuma, AZ",15.42%
"Miami-Fort Lauderdale-Pompano Beach, FL",15.38%
"New Orleans-Metairie, LA",15.38%
"Savannah, GA",15.36%
