city,Daily price in U.S. dollars
"Saigon (Ho Chi Minh City), Viet Nam",19.49
"Hanoi, Viet Nam",19.7
"Hoi An, Viet Nam",21.49
"Vientiane, Laos",21.74
"Yangon, Myanmar",21.77
"Manila, Philippines",22.13
"Pokhara, Nepal",22.52
"Quito, Ecuador",22.8
"Phnom Penh, Cambodia",23.04
"Chiang Mai, Thailand",23.41
"Granada (Nicaragua), Nicaragua",24.26
"Jakarta, Indonesia",24.29
"Kathmandu, Nepal",24.62
"Delhi, India",24.65
"Zanzibar City, Tanzania",24.87
"Colombo, Sri Lanka",25.18
"La Paz, Bolivia",25.46
"Goa, India",25.84
"Luang Prabang, Laos",26.43
"Bucharest, Romania",27.07
