syndrome,Distribution of causes of death
Lower respiratory infections,10.4%
HIV/AIDS,8.1%
Diarrhoeal diseases,7.4%
Ischaemic heart disease,5.8%
Malaria,4.6%
Tuberculosis,4.6%
Stroke,4.2%
Preterm birth complications,3.9%
Birth asphyxia and birth trauma,3.7%
Road injury,3.2%
Protein-energy malnutrition,2.4%
Maternal conditions,2.2%
Congenital anomalies,2.1%
Meningitis,2.1%
Cirrhosis of the liver,2%
Neonatal sepsis and infections,2%
Diabetes mellitus,1.9%
Chronic obstructive pulmonary disease,1.3%
Interpersonal violence,1.2%
Alzheimer disease and other dementias,1%
