Month,Inflation rate
Jul '20,2.6%
Jun '20,2.9%
May '20,1.3%
Apr '20,2.6%
Mar '20,1.8%
Feb '20,1.8%
Jan '20,1.2%
Dec '19,0.9%
Nov '19,0.5%
Oct '19,0.7%
Sep '19,0.8%
Aug '19,1.5%
Jul '19,1.1%
Jun '19,0.9%
May '19,1%
Apr '19,1.2%
Mar '19,1.5%
Feb '19,1.1%
Jan '19,1.2%
Dec '18,0.8%
Nov '18,0.9%
Oct '18,1.2%
Sep '18,1.3%
Aug '18,1.2%
Jul '18,2%
Jun '18,2%
May '18,1.9%
Apr '18,2.1%
Mar '18,1.8%
Feb '18,1.2%
Jan '18,2%
Dec '17,3.2%
Nov '17,3.2%
Oct '17,3.2%
Sep '17,3.1%
Aug '17,2.5%
Jul '17,2.2%
Jun '17,2.3%
May '17,2.1%
Apr '17,1.1%
Mar '17,1.6%
Feb '17,2.3%
Jan '17,1.8%
Dec '16,1%
Nov '16,1.2%
Oct '16,1.1%
Sep '16,0.5%
Aug '16,0.9%
Jul '16,0.5%
Jun '16,0.1%
May '16,0.1%
Apr '16,0.9%
Mar '16,0.7%
Feb '16,1.1%
Jan '16,0.6%
Dec '15,0.4%
Nov '15,0.4%
Oct '15,0.5%
Sep '15,0.8%
Aug '15,0.8%
Jul '15,0.88%
Jun '15,0.97%
May '15,1.1%
