Response,Percentage of those with depression
Alaska,3.8%
Alabama,4.8%
Arkansas,4.7%
Arizona,3.3%
California,3.6%
Colorado,4.2%
Connecticut,5.4%
District of Columbia,4.7%
Delaware,5%
Florida,4.4%
Georgia,4.3%
Hawaii,2.1%
Iowa,4.9%
Idaho,5.3%
Illinois,4%
Indiana,4.2%
Kansas,4.9%
Kentucky,4.6%
Louisiana,4.7%
Massachusetts,5.5%
Maryland,4.4%
Maine,6.1%
Michigan,4.6%
Minnesota,5.8%
Missouri,5.1%
Mississippi,3.6%
Montana,4.7%
North Carolina,4.8%
North Dakota,5.1%
Nebraska,4.1%
New Hampshire,5.1%
New Jersey,3.6%
New Mexico,4.1%
Nevada,3.2%
New York,4.2%
Ohio,4.4%
Oklahoma,4.7%
Oregon,5%
Pennsylvania,4.4%
Rhode Island,6.4%
South Carolina,3.9%
South Dakota,4.1%
Tennessee,4.8%
Texas,3.7%
Utah,6%
Virginia,4.4%
Vermont,5.2%
Washington,4.9%
Wisconsin,4.4%
West Virginia,5.4%
Wyoming,4.7%
United States,4.4%
