Month,Price in GBP per kilogram
Nov '19,0.85
Oct '19,0.82
Sep '19,0.93
Apr '19,0.71
Mar '19,0.76
Feb '19,0.76
Jan '19,0.72
Dec '18,0.74
Nov '18,0.78
Oct '18,1.0
Sep '18,0.87
Apr '18,0.74
Mar '18,0.67
Feb '18,0.7
Jan '18,0.67
Dec '17,0.69
Nov '17,0.68
Oct '17,0.74
Sep '17,0.98
Aug '17,1.21
Apr '17,0.8
Mar '17,0.79
Feb '17,0.81
Jan '17,0.86
Dec '16,1.06
Nov '16,0.76
Oct '16,0.77
Sep '16,1.01
Aug '16,0.63
Mar '16,0.61
Feb '16,0.58
Jan '16,0.61
Dec '15,0.6
Nov '15,0.63
Oct '15,0.69
Sep '15,0.81
Aug '15,1.06
Apr '15,0.57
Mar '15,0.58
Feb '15,0.55
Jan '15,0.55
