Year,GDP per capita in U.S. dollars
2025,689.2
2024,658.44
2023,628.18
2022,599.06
2021,554.38
2020,514.85
2019,525.3
2018,528.48
2017,515.94
2016,476.23
2015,467.24
2014,452.81
2013,462.46
2012,444.96
2011,456.33
2010,414.15
2009,417.18
2008,472.38
2007,379.07
2006,292.99
2005,275.52
2004,245.67
2003,317.42
2002,262.74
2001,278.99
2000,246.28
1999,243.82
1998,252.76
1997,247.44
1996,287.77
1995,234.89
1994,228.3
1993,266.59
1992,244.67
1991,225.01
1990,266.88
1989,222.92
1988,224.54
1987,242.88
1986,317.45
1985,286.32
