Major occupational group,Employment change in thousands
Food preparation and serving related,1488.3
Personal care and service,1237.6
Healthcare practitioners and technical,1082.6
Healthcare support,785.2
Management,706.9
Construction and extraction,704.0
Computer and mathematical,593.9
Business and financial operations,591.8
"Education, training, and library",512.9
Transportation and material moving,483.1
Community and social service,306.2
Building and grounds cleaning and maintenance,290.8
"Installation, maintenance, and repair",233.2
Architecture and engineering,113.3
"Life, physical, and social science",97.4
"Arts, design, entertainment, sports, and media",96.8
Protective service,95.2
Legal,93.3
"Farming, fishing, and forestry",3.2
Sales and related,-79.8
Production,-429.5
Office and administrative support,-608.1
