Franchise (country of origin),Number of units
Subway (US),44819
McDonald's (US),36500
KFC (US),19955
Pizza Hut (US),15605
Burger King (US),15000
Domino's Pizza (US),13200
Spar (Netherlands),12176
Dunkin' Donuts (US),12000
Baskin-Robbins (US),7722
Taco Bell (US),6407
Papa John's Pizza (US),4208
Dia (Spain),3697
Intermarché (France),2398
Vival (France),1800
Punto Simply (Italy),1755
Aunti Anne's (US),1700
Marston's Pub (UK),1698
Carl's Jr. Restaurants (US),1545
Cold Stone Creamery (US),1500
Groszek (Poland),1430
