Quarter,Surplus in trillion U.S. dollars
Q3 '20,-3.78
Q2 '20,-5.36
Q1 '20,-1.56
Q4 '19,-1.47
Q3 '19,-1.48
Q2 '19,-1.38
Q1 '19,-1.38
Q4 '18,-1.33
Q3 '18,-1.27
Q2 '18,-1.32
Q1 '18,-1.22
Q4 '17,-0.1
Q3 '17,-1.13
Q2 '17,-1.09
Q1 '17,-1.04
Q4 '16,-1.02
Q3 '16,-1.02
Q2 '16,-0.98
Q1 '16,-1.01
Q4 '15,-0.8
Q3 '15,-0.93
Q2 '15,-0.76
Q1 '15,-0.9
Q4 '14,-0.94
Q3 '14,-0.94
Q2 '14,-0.9
Q1 '14,-0.9
Q4 '13,-0.89
Q3 '13,-1.07
Q2 '13,-0.88
Q1 '13,-1.14
Q4 '12,-1.46
Q3 '12,-1.48
Q2 '12,-1.53
Q1 '12,-1.56
Q4 '11,-1.7
Q3 '11,-1.7
Q2 '11,-1.77
Q1 '11,-1.74
Q4 '10,-1.78
Q3 '10,-1.81
Q2 '10,-1.96
Q1 '10,-1.97
Q4 '09,-1.92
Q3 '09,-1.95
Q2 '09,-1.99
Q1 '09,-1.79
