Country,"Incarceration rate per 100,000 people"
Russia,386.1
Turkey,329.0
Georgia,269.7
Lithuania,232.1
Azerbaijan,218.2
Czechia,202.6
Moldova,197.0
Poland,190.1
Slovakia,188.9
Montenegro,185.5
Latvia,183.4
Estonia,181.1
Hungary,169.5
Serbia,156.1
Scotland,146.0
England & Wales,137.6
Spain,125.7
Portugal,125.2
Luxembourg,108.2
Malta,107.5
Bulgaria,106.7
Romania,106.6
Austria,105.6
France,104.5
North Macedonia,103.2
Italy,99.6
Greece,99.0
Belgium,94.9
Cyprus,82.5
Switzerland,81.3
Ireland,81.2
Northern Ireland,79.2
Croatia,78.9
Germany,76.7
Armenia,76.4
Andorra,68.9
Slovenia,67.1
Denmark,63.2
Norway,60.6
Sweden,59.7
Netherlands,56.4
Monaco,54.8
Finland,49.8
Iceland,40.3
Liechtenstein,31.3
