Month,Number of tests
Mar 03,25
Mar 04,92
Mar 05,179
Mar 07,299
Mar 08,230
Mar 09,246
Mar 10,394
Mar 11,210
Mar 12,655
Mar 13,1525
Mar 14,1079
Mar 16,2406
Mar 17,1616
Mar 18,1681
Mar 19,1876
Mar 20,2012
Mar 21,2523
Mar 22,2520
Mar 23,2771
Mar 24,3346
Mar 25,3320
Mar 26,4503
Mar 27,4607
Mar 28,4109
Mar 29,3824
Mar 30,4812
Mar 31,4382
Apr 01,5377
Apr 02,5760
Apr 03,5963
Apr 04,7856
Apr 05,4710
Apr 06,6748
Apr 07,7069
Apr 08,8313
Apr 09,10698
Apr 10,11265
Apr 11,8447
Apr 12,5623
Apr 13,4691
Apr 14,8172
Apr 15,12578
Apr 16,10583
Apr 17,13306
Apr 18,11286
Apr 19,9990
Apr 20,10119
Apr 21,14444
Apr 22,11920
Apr 23,14482
Apr 24,13793
Apr 25,11639
Apr 26,7226
Apr 27,12885
Apr 28,13783
Apr 29,13500
Apr 30,16601
May 01,11385
May 02,9935
May 03,7856
May 04,10466
May 05,16198
May 06,15526
May 07,17512
May 08,17180
May 09,16218
May 10,14312
May 11,16560
May 12,20346
May 13,26235
May 14,21919
May 15,25118
May 16,18855
May 17,15797
May 18,17178
May 19,21637
May 20,22369
May 21,22341
May 22,31368
May 23,16502
May 24,12135
May 25,22177
May 26,23021
May 27,21958
May 28,26724
May 29,25613
May 30,16477
May 31,15974
Jun 01,14435
Jun 02,21222
Jun 03,29427
Jun 04,18333
Jun 05,23344
Jun 06,18115
Jun 07,14404
Jun 08,17053
Jun 09,22056
Jun 10,19130
Jun 11,21944
Jun 12,18105
Jun 13,19654
Jun 14,13282
Jun 15,19109
Jun 16,25966
Jun 17,23852
Jun 18,26725
Jun 19,22723
Jun 20,21443
Jun 21,14193
Jun 22,21171
Jun 23,22441
Jun 24,25196
Jun 25,22287
Jun 26,22832
Jun 27,24031
Jun 28,5547
Jun 29,21866
Jun 30,25104
Jul 01,23183
Jul 02,27804
Jul 03,22663
Jul 04,19210
Jul 05,16294
Jul 06,20700
Jul 07,20209
Jul 08,23855
Jul 09,24203
Jul 10,35012
Jul 11,17969
Jul 12,15753
Jul 13,21904
Jul 14,25323
Jul 15,25497
Jul 16,26254
Jul 17,24546
Jul 18,19383
Jul 19,15464
Jul 20,20266
Jul 21,25511
Jul 22,27190
Jul 23,24280
Jul 24,26239
Jul 25,20300
Jul 26,18812
Jul 27,22691
Jul 28,29952
Jul 29,23064
Jul 30,35127
Jul 31,28385
Aug 01,23874
Aug 02,17783
Aug 03,25829
Aug 04,33647
Aug 05,28650
Aug 06,32676
Aug 07,21900
Aug 08,20374
Aug 09,14924
Aug 10,23142
Aug 11,24079
Aug 12,26131
Aug 13,26726
Aug 14,24632
Aug 15,16613
Aug 16,13158
Aug 17,20530
Aug 18,28741
Aug 19,25599
Aug 20,29689
Aug 21,25704
Aug 22,19634
Aug 23,16754
Aug 24,22211
Aug 25,28894
Aug 26,28283
Aug 27,25762
Aug 28,21871
Aug 29,19017
Aug 30,12474
Aug 31,29407
Sep 01,34167
Sep 02,15684
Sep 03,22493
Sep 04,25566
Sep 05,18619
Sep 06,10303
Sep 07,18818
Sep 08,23327
Sep 09,18680
Sep 10,18643
Sep 11,21154
Sep 12,14502
Sep 13,12631
Sep 14,18719
Sep 15,21912
Sep 16,22192
Sep 17,21023
Sep 18,20040
Sep 19,18988
Sep 20,12224
Sep 21,22599
Sep 22,22058
Sep 23,23725
Sep 24,24232
Sep 25,23290
Sep 26,18821
Sep 27,13467
Sep 28,23119
Sep 29,28021
Sep 30,29615
Oct 01,28724
Oct 02,30515
Oct 03,25976
Oct 04,18324
Oct 05,24036
Oct 06,44056
Oct 07,44113
Oct 08,30812
Oct 09,28228
Oct 10,31180
Oct 11,25078
Oct 12,33851
Oct 13,43852
Oct 14,64518
Oct 15,50825
Oct 16,48989
Oct 17,37289
Oct 18,36039
Oct 19,41578
Oct 20,59341
Oct 21,50200
Oct 22,62121
Oct 23,55352
Oct 24,53539
Oct 25,50407
Oct 26,66062
Oct 27,60607
Oct 28,67892
Oct 29,78041
Oct 30,59795
Oct 31,49971
Nov 01,65012
Nov 02,65792
Nov 03,69080
Nov 04,67120
Nov 05,82955
Nov 06,66814
Nov 07,61055
Nov 08,43456
Nov 09,54701
Nov 10,53274
Nov 11,57249
Nov 12,57552
Nov 13,56084
Nov 14,46607
Nov 15,35105
Nov 16,41983
Nov 17,57012
Nov 18,58011
Nov 19,55048
Nov 20,43945
Nov 21,42860
Nov 22,27498
Nov 23,33717
Nov 24,48434
Nov 25,45018
Nov 26,46333
Nov 27,42113
Nov 28,24631
Nov 29,25152
Nov 30,38404
Dec 01,42140
Dec 02,38409
Dec 03,40771
Dec 04,35782
Dec 05,23870
Dec 06,20205
Dec 07,30141
Dec 08,41181
Dec 09,38470
Dec 10,34015
Dec 11,33412
Dec 12,22061
Dec 13,19913
Dec 14,30613
Dec 15,42123
Dec 16,37017
Dec 17,33962
Dec 18,30319
Dec 19,22160
Dec 20,19557
Dec 21,29881
Dec 22,35066
Dec 23,35673
Dec 24,21002
Dec 25,14577
Dec 26,14261
Dec 27,16582
Dec 28,33648
Dec 29,38058
Dec 30,53712
Dec 31,46724
Jan 01 '21,27604
Jan 02 '21,29618
Jan 03 '21,25436
Jan 04 '21,48466
Jan 05 '21,61758
Jan 06 '21,46757
