Month,Number of cases
"Jan 07, 2021",152254
"Jan 06, 2021",149881
"Jan 05, 2021",147061
"Jan 04, 2021",144796
"Jan 03, 2021",143544
"Jan 02, 2021",141979
"Jan 01, 2021",140557
"Dec 31, 2020",139140
"Dec 30, 2020",137216
"Dec 29, 2020",134802
"Dec 28, 2020",133204
"Dec 27, 2020",131592
"Dec 26, 2020",130230
"Dec 25, 2020",128578
"Dec 24, 2020",126752
"Dec 23, 2020",125000
"Dec 22, 2020",123323
"Dec 21, 2020",121718
"Dec 20, 2020",120687
"Dec 19, 2020",119151
"Dec 18, 2020",117582
"Dec 17, 2020",115966
"Dec 16, 2020",114547
"Dec 15, 2020",113241
"Dec 14, 2020",111361
"Dec 13, 2020",111361
"Dec 12, 2020",110393
"Dec 11, 2020",109104
"Dec 10, 2020",107814
"Dec 09, 2020",106856
"Dec 08, 2020",105445
"Dec 07, 2020",104329
"Dec 06, 2020",104002
"Dec 05, 2020",102991
"Dec 04, 2020",101900
"Dec 03, 2020",99280
"Dec 02, 2020",99280
"Dec 01, 2020",96769
"Nov 30, 2020",96769
"Nov 29, 2020",96251
"Nov 28, 2020",94980
"Nov 27, 2020",93770
"Nov 26, 2020",92475
"Nov 25, 2020",91307
"Nov 24, 2020",90213
"Nov 23, 2020",89196
"Nov 22, 2020",88711
"Nov 21, 2020",87471
"Nov 20, 2020",86265
"Nov 19, 2020",83772
"Nov 18, 2020",83772
"Nov 17, 2020",81723
"Nov 16, 2020",81003
"Nov 15, 2020",80404
"Nov 14, 2020",79339
"Nov 13, 2020",77668
"Nov 12, 2020",76106
"Nov 11, 2020",74552
"Nov 10, 2020",72993
"Nov 9, 2020",71569
"Nov 8, 2020",71119
"Nov 7, 2020",69543
"Nov 6, 2020",66334
"Nov 5, 2020",66334
"Nov 4, 2020",64363
"Nov 3, 2020",63126
"Nov 2, 2020",61906
"Nov 1, 2020",61115
"Oct 31, 2020",59813
"Oct 30, 2020",58029
"Oct 29, 2020",54278
"Oct 28, 2020",54278
"Oct 27, 2020",52399
"Oct 26, 2020",52399
"Oct 25, 2020",48799
"Oct 24, 2020",48799
"Oct 23, 2020",47214
"Oct 22, 2020",45892
"Oct 21, 2020",45892
"Oct 20, 2020",44450
"Oct 19, 2020",42727
"Oct 18, 2020",40542
"Oct 17, 2020",40542
"Oct 16, 2020",34790
"Oct 15, 2020",34790
"Oct 14, 2020",34790
"Oct 13, 2020",32556
"Oct 12, 2020",32556
"Oct 11, 2020",32556
"Oct 10, 2020",31259
"Oct 9, 2020",26899
"Oct 8, 2020",26899
"Oct 7, 2020",24542
"Oct 6, 2020",22230
"Oct 5, 2020",22230
"Oct 4, 2020",22230
"Oct 3, 2020",20944
"Oct 2, 2020",19721
"Oct 1, 2020",18413
"Sep 30, 2020",18413
"Sep 29, 2020",17405
"Sep 28, 2020",16114
"Sep 27, 2020",16114
"Sep 26, 2020",14392
"Sep 25, 2020",14392
"Sep 24, 2020",13305
"Sep 23, 2020",12479
"Sep 22, 2020",11260
"Sep 21, 2020",11260
"Sep 20, 2020",10732
"Sep 19, 2020",9110
"Sep 18, 2020",8570
"Sep 17, 2020",8570
"Sep 16, 2020",8100
"Sep 15, 2020",7623
"Sep 14, 2020",7382
"Sep 13, 2020",6635
"Sep 12, 2020",6635
"Sep 11, 2020",6259
"Sep 10, 2020",5882
"Sep 9, 2020",5417
"Sep 8, 2020",5417
"Sep 7, 2020",5124
"Sep 6, 2020",5041
"Sep 5, 2020",4776
"Sep 4, 2020",4542
"Sep 3, 2020",4394
"Sep 2, 2020",4196
"Sep 1, 2020",3963
"Aug 31, 2020",3803
"Aug 30, 2020",3685
"Aug 29, 2020",3572
"Aug 28, 2020",3461
"Aug 27, 2020",3323
"Aug 26, 2020",3206
"Aug 25, 2020",3069
"Aug 24, 2020",2893
"Aug 23, 2020",2818
"Aug 22, 2020",2738
"Aug 21, 2020",2607
"Aug 20, 2020",2543
"Aug 19, 2020",2427
"Aug 18, 2020",2314
"Aug 17, 2020",2185
"Aug 16, 2020",2107
"Aug 15, 2020",2023
"Aug 14, 2020",1903
"Aug 13, 2020",1847
"Aug 12, 2020",1780
"Aug 11, 2020",1738
"Aug 10, 2020",1717
"Aug 9, 2020",1697
"Aug 8, 2020",1678
"Aug 7, 2020",1656
"Aug 6, 2020",1642
"Aug 5, 2020",1601
"Aug 4, 2020",1584
"Aug 3, 2020",1565
"Aug 2, 2020",1561
"Aug 1, 2020",1552
"Jul 31, 2020",1535
"Jul 30, 2020",1514
"Jul 29, 2020",1488
"Jul 28, 2020",1468
"Jul 27, 2020",1455
"Jul 26, 2020",1452
"Jul 25, 2020",1443
"Jul 24, 2020",1425
"Jul 23, 2020",1406
"Jul 22, 2020",1394
"Jul 21, 2020",1389
"Jul 20, 2020",1381
"Jul 19, 2020",1374
"Jul 18, 2020",1348
"Jul 17, 2020",1336
"Jul 16, 2020",1327
"Jul 15, 2020",1319
"Jul 14, 2020",1306
"Jul 13, 2020",1302
"Jul 12, 2020",1263
