Tennis player,World ranking points
"Djokovic, Novak (SRB)",11740
"Nadal, Rafael (ESP)",9850
"Thiem, Dominic (AUT)",9125
Roger Federer (SUI),6630
"Tsitsipas, Stefanos (GRC)",5925
"Medvedev, Daniil (RUS)",5890
"Zverev, Alexander (GER)",4855
"Rublev, Andrey (RUS)",3429
"Schwartzmann, Diego (ARG)",3180
"Berrettini, Matteo (ITA)",3075
"Monfils, Gael (FRA)",2860
"Shapovalov, Denis (CAN)",2830
"Bautista Agut, Roberto (ESP)",2710
"Goffin, David (BEL)",2555
"Carreno Busta, Pablo (ESP)",2400
"Fognini, Fabio (ITA)",2400
"Khachanov, Karen (RUS)",2245
"Wawrinka, Stan (SUI)",2230
"Raonic, Milos (CAN)",2220
"Dimitrov, Grigor (BUL)",2145
"Garin, Cristian (CHI)",2135
"Aliassime, Felix Auger (CAN)",2126
"Isner, John (USA)",1850
"Coric, Boma (CRO)",1820
"Lajovic, Dusan (SRB)",1785
"Ruud, Casper (NOR)",1739
"Paire, Benoit (FRA)",1738
"Fritz, Taylor",1670
"De Minaur, Alex (AUS)",1665
"Krajinovic, Filip (SRB)",1628
"Hurkacz, Hubert (POL)",1493
"Struff, Jan-Lennard (GER)",1450
"Opelka, Reilly (USA)",1402
"Basilashvili, Nikoloz (GEO)",1395
"Evans, Daniel (GBR)",1384
"Nishikori, Kei (JPN)",1345
"Pella, Guido (ARG)",1310
"Humbert, Ugo (FRA)",1306
"Kecmanovic, Miomir (SRB)",1283
"Cilic, Marin (CRO)",1280
"Mannarino, Adrian (FRA)",1271
"Sonego, Lorenzo (ITA)",1253
"Kyrgios, Nick (AUS)",1170
"Millman, John (AUS)",1166
"Ramos-Vinolas, Albert (ESP)",1165
Sinner Jannik (ITA),1136
"Edmund, Kyle (GBR)",1085
Sandgren Tennys (USA),1078
Bublik Alexander (KAZ),1070
"Querrey, Sam (USA)",1065
