Month,Number of tests
"Jan 7, 2021",24290
"Jan 6, 2021",1985
"Jan 5, 2021",6521
"Jan 4, 2021",8727
"Jan 3, 2021",5960
"Jan 2, 2021",10697
"Jan 1, 2021",18128
"Dec 31, 2020",17390
"Dec 30, 2020",18302
"Dec 29, 2020",6190
"Dec 28, 2020",4647
"Dec 27, 2020",3292
"Dec 26, 2020",9494
"Dec 25, 2020",22154
"Dec 24, 2020",26186
"Dec 23, 2020",21239
"Dec 22, 2020",7937
"Dec 21, 2020",15451
"Dec 20, 2020",24033
"Dec 19, 2020",24204
"Dec 18, 2020",32067
"Dec 17, 2020",18362
"Dec 16, 2020",12636
"Dec 15, 2020",10765
"Dec 14, 2020",19245
"Dec 13, 2020",25239
"Dec 12, 2020",30452
"Dec 11, 2020",28603
"Dec 10, 2020",29325
"Dec 9, 2020",28737
"Dec 8, 2020",9487
"Dec 7, 2020",21424
"Dec 6, 2020",23681
"Dec 5, 2020",23290
"Dec 4, 2020",18479
"Dec 3, 2020",26044
"Dec 2, 2020",14944
"Dec 1, 2020",5758
"Nov 30, 2020",8946
"Nov 29, 2020",16311
"Nov 28, 2020",21562
"Nov 27, 2020",21006
"Nov 26, 2020",18301
"Nov 25, 2020",20016
"Nov 24, 2020",10144
"Nov 23, 2020",15311
"Nov 22, 2020",22173
"Nov 21, 2020",24806
"Nov 20, 2020",22860
"Nov 19, 2020",23357
"Nov 18, 2020",21519
"Nov 17, 2020",27292
"Nov 16, 2020",6098
"Nov 15, 2020",28715
"Nov 14, 2020",19140
"Nov 13, 2020",23912
"Nov 12, 2020",23521
"Nov 11, 2020",20987
"Nov 10, 2020",13068
"Nov 9, 2020",16248
"Nov 8, 2020",19189
"Nov 7, 2020",22321
"Nov 6, 2020",20025
"Nov 5, 2020",17968
"Nov 4, 2020",17657
"Nov 3, 2020",14620
"Nov 2, 2020",13628
"Nov 1, 2020",18600
"Oct 31, 2020",16563
"Oct 30, 2020",15638
"Oct 29, 2020",15253
"Oct 28, 2020",15596
"Oct 27, 2020",11710
"Oct 26, 2020",10010
"Oct 25, 2020",18932
"Oct 24, 2020",11971
"Oct 23, 2020",13628
"Oct 22, 2020",16361
"Oct 21, 2020",9113
"Oct 20, 2020",6332
"Oct 19, 2020",9651
"Oct 18, 2020",9997
"Oct 17, 2020",12971
"Oct 16, 2020",9797
"Oct 15, 2020",10742
"Oct 14, 2020",9658
"Oct 13, 2020",7123
"Oct 12, 2020",8527
"Oct 11, 2020",10203
"Oct 10, 2020",11719
"Oct 9, 2020",11163
"Oct 8, 2020",11462
"Oct 7, 2020",9726
"Oct 6, 2020",5699
"Oct 5, 2020",6424
"Oct 4, 2020",7957
"Oct 3, 2020",11174
"Oct 2, 2020",12394
"Oct 1, 2020",11972
"Sep 30, 2020",11167
"Sep 29, 2020",7037
