Top 15 occupations,Number of new jobs in thousand
Personal care aides,881.0
"Combined food preparation and serving workers, including fast food",640.1
Registered nurses,371.5
Home health aides,304.8
"Cooks, restaurant",299.0
"Software developers, applications",241.5
Waiters and waitresses,170.2
General and operations managers,165.0
"Janitors and cleaners, except maids and housekeeping cleaners",159.8
Medical assistants,154.9
Construction laborers,148.1
"Laborers and freight, stock, and material movers, hand",144.0
Market research analysts and marketing specialists,139.2
Nursing assistants,135.4
Management analysts,118.3
