Year,Cumulative number of COVID-19 tests
30 July,3946565
29 July,3899192
28 July,3863930
27 July,3801950
26 July,3761927
25 July,3717483
24 July,3697322
23 July,3659778
22 July,3573554
21 July,3573554
20 July,3520466
19 July,3481728
18 July,3437965
17 July,3387679
16 July,3341817
15 July,3302407
14 July,3257532
13 July,3212803
12 July,3183440
11 July,3142626
10 July,3098117
9 July,3055265
8 July,3020096
7 July,2975635
6 July,2940849
5 July,2914878
4 July,2885670
3 July,2848168
2 July,2770077
1 July,2770077
30 June,2721609
29 June,2676629
28 June,2640239
27 June,2598167
26 June,2558287
25 June,2518574
24 June,2482793
23 June,2444042
22 June,2415365
21 June,2382705
20 June,2339487
19 June,2295364
18 June,2254405
17 June,2216654
16 June,2183400
15 June,2152700
14 June,2113848
13 June,2072020
12 June,2028420
11 June,1989179
10 June,1955643
9 June,1930065
8 June,1896746
7 June,1868201
6 June,1830422
5 June,1824781
4 June,1787370
3 June,1751547
2 June,1721435
1 June,1691297
31 May,1663042
30 May,1631174
29 May,1593377
28 May,1530855
27 May,1502914
26 May,1500481
25 May,1479762
24 May,1454890
23 May,1405208
22 May,1401564
21 May,1377146
20 May,1372929
19 May,1336967
18 May,1319987
17 May,1296695
16 May,1265502
15 May,1203512
14 May,1172796
13 May,1145492
12 May,1121553
11 May,1032689
10 May,1028580
9 May,1067595
8 May,1005218
7 May,1001882
6 May,942526
5 May,919368
4 May,897444
3 May,893490
2 May,862080
1 May,806449
30 April,788283
29 April,758412
28 April,740859
27 April,717451
26 April,691663
25 April,669558
24 April,643398
23 April,620101
22 April,576348
21 April,565931
20 April,555551
19 April,536062
18 April,516216
17 April,503003
16 April,487060
15 April,462353
14 April,450717
13 April,428920
12 April,404651
11 April,401552
10 April,383322
09 April,373581
08 April,359269
07 April,336806
06 April,336806
05 April,311971
04 April,311971
03 April,290570
02 April,256933
01 April,250095
31 March,236851
30 March,221628
29 March,205097
28 March,184201
27 March,164564
26 March,158598
25 March,142154
24 March,107147
23 March,79399
22 March,79399
21 March,78417
20 March,66000
19 March,7775
18 March,7775
17 March,7775
16 March,7775
15 March,7775
14 March,7775
13 March,7775
12 March,7775
