Year,GDP per capita in U.S. dollars
2025*,607.41
2024*,543.23
2023*,486.57
2022*,447.36
2021*,430.52
2020*,455.01
2019*,487.69
2018*,484.87
2017*,445.19
2016*,415.18
2015,570.13
2014,619.91
2013,605.0
2012,589.82
2011,524.89
2010,429.95
2009,475.42
2008,502.5
2007,423.37
2006,382.0
2005,361.49
2004,330.2
2003,279.2
2002,257.6
2001,243.13
2000,255.35
1999,290.32
1998,271.93
1997,243.0
1996,210.63
1995,157.93
1994,159.08
1993,152.11
1992,151.72
1991,231.54
1990,304.39
1989,192.13
1988,184.5
1987,209.55
1986,463.22
1985,396.19
