state of Mexico,Number of jobs
Jalisco,38226
Nuevo Leon,36775
Ciudad de Mexico,32735
Guanajuato,29759
Baja California,29645
State of Mexico,28532
Queretaro,27325
Quintana Roo,21538
Chihuahua,20960
Sonora,19364
San Luis Potosí,18805
Tamaulipas,17087
Coahuila,15805
Michoacan,13676
Puebla,10955
Aguascalientes,8317
Baja California Sur,6739
Yucatan,5546
Hidalgo,5469
Sinaloa,5415
Tlaxcala,4025
Veracruz,3538
Colima,3017
Nayarit,2993
Zacatecas,2751
Durango,1259
Oaxaca,887
Morelos,-890
Chiapas,-1055
Guerrero,-1403
Campeche,-1405
Tabasco,-1931
