State,Number of children enrolled
United States *,1616589
California,245012
Texas,238921
Florida,173633
New York,126302
Illinois,80958
Georgia,80493
New Jersey,52553
Wisconsin,49446
Pennsylvania,42867
Oklahoma,42192
Michigan,37140
Massachusetts,33433
Maryland,31780
North Carolina,29509
South Carolina,28421
Iowa,27772
Colorado,21493
Kentucky,21351
Arkansas,19327
Louisiana,18841
Alabama,18756
Tennessee,17879
Ohio,17870
Virginia,17657
Connecticut,14858
District of Columbia,13597
Washington,13491
Nebraska,13258
West Virginia,13063
New Mexico,11251
Kansas,11060
Oregon,9360
Vermont,8648
Minnesota,8237
Maine,5805
Missouri,5723
Arizona,5410
Nevada,2139
Mississippi,1954
Alaska,1304
Rhode Island,1080
North Dakota,1062
Delaware,845
Hawaii,415
Montana,271
Guam,72
