State,Number of deaths
Texas (1900)*,8000
Florida (1928)*,2500
Katrina - Southeast Louisiana/Mississippi (2005),1500
Louisiana (1893)*,1100
"South Carolina, Georgia (1893)*",1000
"South Carolina, Georgia (1881)",700
"Audrey - Southwest Louisiana, North Texas (1957)",416
Florida (1935),408
Louisiana (1856),400
Florida (1926),372
Louisiana (1909),350
Florida (1919),287
Louisiana (1915),275
Texas (1915),275
New England (1938),256
"Camille - Mississippi, Southeast Louisiana/VA (1969)",256
Diane - Northeast U.S. (1955),184
"Georgia, South Carolina, North Carolina (1898)",179
Texas (1875),176
Florida (1906),164
Texas (1886),150
"Mississippi. Alabama, Pensacola (1906)",134
"Florida, Georgia, South Carolina (1896)",130
"Agnes - Florida, Northeast U.S. (1972)",122
Hazel - North/South Carolina (1954),95
"Betsy - Southeast Florida, Southeast Louisiana (1965)",75
"Sandy - New Jersey, New York, Connecticut (2012)",72
Northeast U.S. (1944),64
Carol - Northeast U.S. (1954),60
Floyd - Mid Atlantic & Northeast U.S. (1999),56
North Carolina (1883),53
"Southeast Florida/Louisiana, Mississippi (1947)",51
"North/South Carolina, Georgia (1940)",50
"Donna - Florida, Eastern U.S. (1960)",50
North/South Carolina (1899),50
