Year,Population in thousands
2020,6948.45
2019,7000.12
2018,7051.61
2017,7102.45
2016,7151.95
2015,7199.74
2014,7245.65
2013,7290.09
2012,7334.01
2011,7378.65
2010,7425.01
2009,7473.51
2008,7524.08
2007,7576.68
2006,7631.02
2005,7686.96
2004,7744.63
2003,7804.31
2002,7866.24
2001,7930.7
2000,7997.95
1999,8067.01
1998,8137.67
1997,8211.8
1996,8291.97
1995,8379.31
1994,8474.82
1993,8576.04
1992,8676.38
1991,8767.0
1990,8841.47
1989,8897.54
1988,8936.65
1987,8960.55
1986,8972.56
1985,8975.35
1984,8968.91
1983,8953.12
1982,8930.71
1981,8905.1
1980,8878.79
1979,8853.21
1978,8828.03
1977,8801.9
1976,8772.56
1975,8738.39
1974,8699.17
1973,8655.71
1972,8608.66
1971,8559.04
1970,8507.54
1969,8454.58
1968,8400.01
1967,8343.49
1966,8284.45
1965,8222.59
1964,8157.83
1963,8090.7
1962,8022.16
1961,7953.47
1960,7885.61
1959,7819.0
1958,7753.61
1957,7689.14
1956,7625.19
1955,7561.49
1954,7497.95
1953,7434.69
1952,7372.02
1951,7310.53
1950,7251.0
1949,7190.0
1948,7130.0
1947,7070.0
1946,7010.0
1945,6950.0
1944,6900.0
1943,6840.0
1942,6780.0
1941,6720.0
1940,6660.0
1939,6600.0
1938,6530.0
1937,6470.0
1936,6400.0
1935,6340.0
1934,6280.0
1933,6210.0
1932,6150.0
1931,6080.0
1930,6000.0
1929,5920.0
1928,5830.0
1927,5730.0
1926,5630.0
1925,5530.0
1924,5440.0
1923,5340.0
1922,5250.0
1921,5170.0
1920,5090.0
1919,5020.0
1918,4960.0
1917,4900.0
1916,4840.0
1915,4790.0
1914,4730.0
1913,4680.0
1912,4630.0
1911,4570.0
1910,4520.0
1909,4470.0
1908,4410.0
1907,4360.0
1906,4310.0
1905,4250.0
1904,4200.0
1903,4150.0
1902,4100.0
1901,4050.0
1900,3990.0
1899,3940.0
1898,3880.0
1897,3830.0
1896,3770.0
1895,3710.0
1894,3660.0
1893,3600.0
1892,3550.0
1891,3500.0
1890,3450.0
1889,3400.0
1888,3350.0
1887,3300.0
1886,3250.0
1885,3210.0
1884,3160.0
1883,3120.0
1882,3070.0
1881,3030.0
1880,2990.0
1879,2940.0
1878,2900.0
1877,2860.0
1876,2820.0
1875,2780.0
1874,2740.0
1873,2700.0
1872,2660.0
1871,2630.0
1870,2610.0
1869,2590.0
1868,2580.0
1867,2570.0
1866,2570.0
1865,2560.0
1864,2560.0
1863,2560.0
1862,2550.0
1861,2550.0
1860,2540.0
1859,2540.0
1858,2530.0
1857,2530.0
1856,2530.0
1855,2520.0
1854,2520.0
1853,2510.0
1852,2510.0
1851,2500.0
1850,2500.0
1849,2490.0
1848,2480.0
1847,2470.0
1846,2460.0
1845,2440.0
1844,2430.0
1843,2420.0
1842,2410.0
1841,2400.0
1840,2390.0
1839,2380.0
1838,2370.0
1837,2360.0
1836,2350.0
1835,2340.0
1834,2330.0
1833,2320.0
1832,2310.0
1831,2300.0
1830,2290.0
1829,2280.0
1828,2270.0
1827,2260.0
1826,2250.0
1825,2240.0
1824,2230.0
1823,2220.0
1822,2210.0
1821,2200.0
1820,2190.0
1819,2190.0
1818,2190.0
1817,2200.0
1816,2200.0
1815,2200.0
1814,2210.0
1813,2210.0
1812,2210.0
1811,2220.0
1810,2220.0
1809,2220.0
1808,2220.0
1807,2230.0
1806,2230.0
1805,2230.0
1804,2240.0
1803,2240.0
1802,2240.0
1801,2250.0
1800,2250.0
