Month,Number of deaths
"Mar 20, 2020",1
"Mar 21, 2020",1
"Mar 22, 2020",1
"Mar 23, 2020",1
"Mar 24, 2020",2
"Mar 25, 2020",3
Mar 26. 2020,5
"Mar 27, 2020",7
"Mar 28, 2020",9
"Mar 29, 2020",11
"Mar 30, 2020",13
"Mar 31, 2020",17
"Apr 1, 2020",17
"Apr 2, 2020",19
"Apr 3, 2020",20
"Apr 4, 2020",25
"Apr 5, 2020",27
"Apr 6, 2020",27
"Apr 7, 2020",34
"Apr 8, 2020",40
"Apr 9, 2020",42
"Apr 10, 2020",47
"Apr 11, 2020",49
"Apr 12, 2020",56
"Apr 13, 2020",59
"Apr 14, 2020",64
"Apr 15, 2020",72
"Apr 16, 2020",75
"Apr 17, 2020",82
"Apr 18, 2020",90
"Apr 19, 2020",94
"Apr 20, 2020",98
"Apr 21, 2020**",141
"Apr 22, 2020",149
"Apr 23, 2020",172
"Apr 24, 2020",177
"Apr 25, 2020",186
"Apr 26, 2020",190
"Apr 27, 2020",193
"Apr 28, 2020",199
"Apr 29, 2020",206
"Apr 30, 2020",211
"May 1, 2020",218
"May 2, 2020",220
"May 3, 2020",230
"May 4, 2020",240
"May 5, 2020",246
"May 6, 2020",252
"May 7, 2020",255
"May 8, 2020",260
"May 9, 2020",265
"May 10, 2020",267
"May 11, 2020",271
"May 12, 2020",275
"May 13, 2020",284
"May 14, 2020",287
"May 15, 2020",293
"May 16, 2020",297
"May 17, 2020",298
"May 18, 2020",300
"May 19, 2020",301
"May 20, 2020",304
"May 21, 2020",306
"May 22, 2020",306
"May 23, 2020",306
"May 24, 2020",307
"May 25, 2020",308
"May 26, 2020",312
"May 27, 2020",313
"May 28, 2020",313
"May 29, 2020",314
"May 30, 2020",316
"May 31, 2020",317
"Jun 1, 2020",318
"Jun 2, 2020",320
"Jun 3, 2020",321
"Jun 4, 2020",322
"Jun 5, 2020",322
"Jun 6, 2020",322
"Jun 7, 2020",323
"Jun 8, 2020",323
"Jun 9, 2020",324
"Jun 10, 2020",324
"Jun 11, 2020",325
"Jun 12, 2020",325
"Jun 13, 2020",325
"Jun 14, 2020",326
"Jun 15, 2020",326
"Jun 16, 2020",326
"Jun 17, 2020",326
"Jun 18, 2020",326
"Jun 19, 2020",326
"Jun 20, 2020",326
"Jun 21, 2020",326
"Jun 22, 2020",327
"Jun 23, 2020",327
"Jun 24, 2020",327
"Jun 25, 2020",327
"Jun 26, 2020",328
"Jun 27, 2020",328
"Jun 28, 2020",328
"Jun 29, 2020",328
"Jun 30, 2020",328
