Country,Number of deaths
World,1877437
USA,365664
Brazil,197777
India,150151
Mexico,128822
Italy,76329
UK,76305
France,66282
Russia,59951
Iran,55748
Spain,51430
Colombia,44426
Argentina,43785
Peru,37925
Germany,37180
South Africa,30524
Poland,29502
Indonesia,23109
Turkey,21879
Belgium,19827
Ukraine,19357
Chile,16788
Canada,16233
Romania,16178
Ecuador,14103
Iraq,12856
Czechia,12436
Netherlands,11826
Pakistan,10461
Hungary,10198
Philippines,9347
Bolivia,9241
Sweden,8985
Switzerland,8018
Egypt,7918
Bulgaria,7902
Bangladesh,7670
Morocco,7581
Portugal,7286
Austria,6457
Saudi Arabia,6265
Greece,5051
Tunisia,4934
Guatemala,4859
China,4634
Panama,4238
Bosnia and Herzegovina,4211
Croatia,4179
Jordan,3940
Japan,3655
Israel,3495
Serbia,3405
Honduras,3186
Moldova,3070
Armenia,2890
Slovenia,2868
Azerbaijan,2792
Algeria,2782
Myanmar,2766
Georgia,2666
Slovakia,2603
North Macedonia,2559
Dominican Republic,2419
Paraguay,2321
Ireland,2282
Kazakhstan,2262
Costa Rica,2248
Afghanistan,2244
Lithuania,2036
Ethiopia,1963
Nepal,1893
Kenya,1690
Libya,1536
Lebanon,1529
Palestine,1505
Oman,1502
Belarus,1471
Sudan,1468
Denmark,1420
El Salvador,1373
Kyrgyzstan,1361
Nigeria,1319
Albania,1210
Venezuela,1042
S. Korea,1027
Kuwait,938
Australia,909
Syria,741
Latvia,722
Montenegro,699
UAE,685
Uzbekistan,615
Yemen,610
DRC,599
Finland,576
Luxembourg,514
Malaysia,509
Norway,452
Cameroon,448
Senegal,428
Zimbabwe,418
Zambia,412
Angola,410
Mauritania,367
Bahrain,352
Ghana,335
Jamaica,305
Uganda,290
Mali,284
Madagascar,262
Estonia,261
Belize,258
Eswatini,252
Qatar,245
Haiti,236
Malta,226
Namibia,222
Sri Lanka,217
Uruguay,217
Malawi,199
Bahamas,175
Mozambique,171
Guyana,166
Nicaragua,166
Guadeloupe,154
Hong Kong,153
Cuba,147
Ivory Coast,138
Cyprus,134
Somalia,130
Trinidad and Tobago,127
Suriname,125
Gambia,125
French Polynesia,121
Cabo Verde,113
Niger,112
Rwanda,110
Congo,108
Chad,105
Tajikistan,90
Burkina Faso,86
Equatorial Guinea,86
Andorra,84
Liberia,83
Guinea,81
Sierra Leone,76
French Guiana,72
Togo,69
Channel Islands,67
Gabon,66
Thailand,66
Lesotho,65
CAR,63
South Sudan,63
San Marino,62
Djibouti,61
Mayotte,56
Aruba,50
Maldives,48
Botswana,45
Guinea-Bissau,45
Liechtenstein,45
Benin,44
Martinique,43
Réunion,42
Vietnam,35
Singapore,29
Iceland,29
Sint Maarten,27
New Zealand,25
Isle of Man,25
Tanzania,21
Sao Tome and Principe,17
Curaçao,16
Comoros,13
Diamond Princess,13
Saint Martin,12
Bermuda,11
Gibraltar,10
Mauritius,10
Papua New Guinea,9
Taiwan,7
Barbados,7
Turks and Caicos,6
Saint Lucia,5
Antigua and Barbuda,5
Eritrea,3
Monaco,3
Caribbean Netherlands,3
Brunei,3
Mongolia,2
Burundi,2
Cayman Islands,2
Fiji,2
MS Zaandam,2
Seychelles,1
St. Barth,1
Grenada,1
British Virgin Islands,1
Montserrat,1
Western Sahara,1
