Month,Index number of sales per week
Nov 20,74.9
Oct 20,103.5
Sep 20,107.7
Aug 20,94.1
Jul 20,87.6
Jun 20,68.8
May 20,23.4
Apr 20,25.4
Mar 20,61.6
Feb 20,102.2
Jan 20,101.4
Dec 19,98.2
Nov 19,99.9
Oct 19,101.2
Sep 19,107.7
Aug 19,109.3
Jul 19,114.0
Jun 19,111.6
May 19,112.6
Apr 19,106.6
Mar 19,108.8
Feb 19,99.9
Jan 19,98.5
Dec 18,105.3
Nov 18,107.1
Oct 18,104.9
Sep 18,104.6
Aug 18,108.4
Jul 18,109.3
Jun 18,90.5
May 18,99.3
Apr 18,95.1
Mar 18,90.2
Feb 18,92.6
Jan 18,95.1
Dec 17,92.4
Nov 17,103.0
Oct 17,92.7
Sep 17,94.3
Aug 17,94.6
Jul 17,93.1
Jun 17,91.7
May 17,90.7
Apr 17,93.4
Mar 17,93.1
Feb 17,94.2
Jan 17,91.1
Dec 16,86.9
Nov 16,82.9
Oct 16,86.1
Sep 16,80.8
Aug 16,80.1
Jul 16,79.5
Jun 16,83.4
May 16,77.8
Apr 16,78.2
Mar 16,74.7
Feb 16,76.3
Jan 16,73.0
