Year,Gross domestic product in billion international dollars
2021*,323.95
2020*,307.19
2019*,308.67
2018,301.17
2017,290.39
2016,299.11
2015,287.63
2014,282.99
2013,276.47
2012,268.61
2011,247.18
2010,220.85
2009,223.61
2008,238.82
2007,228.59
2006,210.03
2005,189.6
2004,167.04
2003,146.86
2002,122.88
2001,117.43
2000,114.67
1999,107.13
1998,107.53
1997,102.59
1996,98.39
1995,96.05
1994,92.53
1993,83.41
1992,60.3
1991,32.25
1990,52.88
1989,69.09
1988,52.81
1987,56.71
1986,51.18
1985,46.21
1984,46.78
