State,Percent voted
Alabama,48.8%
Alaska,50.2%
Arizona,52.2%
Arkansas,40.6%
California,43.8%
Colorado,53.8%
Connecticut,48.3%
Delaware,48.8%
District of Columbia,55.2%
Florida,47%
Georgia,52%
Hawaii,40.4%
Idaho,45.2%
Illinois,48.7%
Indiana,47.2%
Iowa,56.2%
Kansas,53.6%
Kentucky,51.8%
Louisiana,47.9%
Maine,64.5%
Maryland,49.7%
Massachusetts,50%
Michigan,57.7%
Minnesota,59.5%
Mississippi,53.8%
Missouri,53.7%
Montana,63%
Nebraska,47.3%
Nevada,43.3%
New Hampshire,53.3%
New Jersey,48.3%
New Mexico,45.3%
New York,43.8%
North Carolina,49.3%
North Dakota,59.8%
Ohio,51.1%
Oklahoma,47.1%
Oregon,58.2%
Pennsylvania,52.1%
Rhode Island,48.7%
South Carolina,46.9%
South Dakota,51%
Tennesee,47.8%
Texas,42.2%
Utah,54%
Vermont,54.2%
Virginia,52%
Washington,56%
West Virginia,43.4%
Wisconsin,62.6%
Wyoming,51.2%
