Month,Average weekly sales in thousand GBP
Oct 20,3270951
Sep 20,3220120
Aug 20,3228567
Jul 20,3266489
Jun 20,3370409
Apr 20,3202789
Mar 20,3298572
Feb 20,2948087
Jan 20,2828689
Dec 19,3503230
Nov 19,3096732
Oct 19,3024376
Sep 19,2970763
Aug 19,2999785
Jul 19,3090958
Jun 19,3032042
May 19,3063816
Apr 19,3063131
Mar 19,2965997
Feb 19,2882405
Jan 19,2776369
Dec 18,3490843
Nov 18,3089320
Oct 18,2976035
Sep 18,2913207
Aug 18,2973218
Jul 18,3081052
Jun 18,3033997
May 18,3058712
Apr 18,2867202
Mar 18,2972212
Feb 18,2837555
Jan 18,2687585
Dec 17,3468083
Nov 17,3046392
Oct 17,2933214
Sep 17,2868994
Aug 17,2897861
Jul 17,2967157
Jun 17,2933167
May 17,2979548
Apr 17,2992112
Mar 17,2884638
Feb 17,2839535
Jan 17,2714097
Dec 16,3452487
Nov 16,3084751
Oct 16,2970608
Sep 16,2905913
Aug 16,2923317
Jul 16,2975788
Jun 16,2954375
May 16,2977933
Apr 16,2869082
Mar 16,2908143
Feb 16,2812009
Jan 16,2721742
Dec 15,3337804
Nov 15,2995833
Oct 15,2828189
Sep 15,2828488
Aug 15,2764200
Jul 15,2854905
Jun 15,2870738
May 15,2872749
Apr 15,2745762
Mar 15,2852785
Feb 15,2713632
Jan 15,2647216
Dec 14,3234192
Nov 14,2962769
Oct 14,2790527
Sep 14,2729971
Aug 14,2742352
Jul 14,2821611
Jun 14,2826132
May 14,2808040
